participant,date,test_language,age,sex,l1,l2,l2oral,l2written,country,city,vision,impairment,location,noise,n,exclude_trials
11311,2020-06-08T18:39:26.172Z,Catalan,21,,,Italian,4,3,UK,London,TRUE,FALSE,1,1,86,FALSE
11399,2020-06-25T12:00:13.786Z,Catalan,21,,,Several,5,5,UK,Bedford,TRUE,FALSE,1,3,86,FALSE
55334jfdklgneroijnrpo3994493,2020-06-22T11:06:37.843Z,Catalan,33,,,,4,3,Spain,Santander,FALSE,FALSE,1,2,85,FALSE
553772niofhwifwelfbwqilfbqfhi,2020-06-22T00:11:59.816Z,Catalan,20,,,,4,4,Spain,Oviedo,FALSE,FALSE,1,3,85,FALSE
5583klnvweklnwvpio939vn932,2020-06-28T20:45:58.015Z,Catalan,21,,,French,3,4,Spain,Oviedo,FALSE,FALSE,4,1,85,FALSE
55ipnc9w0h32nce29jf2079jf0jf,2020-06-19T14:04:01.378Z,Catalan,20,,,,,,Spain,Granada,FALSE,FALSE,1,1,85,FALSE
55kvweighibv82hihv9322hhfh,2020-06-19T09:35:18.844Z,Catalan,23,,,,3,4,Spain,Granada,FALSE,FALSE,1,1,85,FALSE
55lvve0vwnrihv0rihqipejv1nfnr,2020-06-20T16:49:30.265Z,Catalan,24,,,,3,4,Spain,Málaga,FALSE,FALSE,1,1,85,FALSE
55nf2389fyevievh89gf18f913h,2020-06-19T09:30:37.357Z,Catalan,25,,,,3,3,Spain,Granada,TRUE,FALSE,1,1,85,FALSE
55nvwehvwoepvho2ph29vhjf3,2020-06-19T10:41:53.182Z,Catalan,18,,,French,4,4,Spain,Granada,FALSE,FALSE,1,2,85,FALSE
5ae9730c0335e200019e996a,2020-06-23T15:16:56.265Z,Catalan,23,,,French,4,4,Spain,Murcia,FALSE,FALSE,1,2,85,FALSE
5b1ec77744127b0001400ec0,2020-06-05T16:24:49.615Z,Spanish,26,,,,,,UK,Spalding,TRUE,FALSE,1,1,103,FALSE
5b6f4c673abd820001d6f637,2020-06-05T12:50:08.756Z,Spanish,23,,,,,,UK,London,TRUE,FALSE,1,1,103,FALSE
5c2fb1412c45d400014ae103,2020-06-05T16:21:27.837Z,Catalan,25,,,French,3,2,UK,Nantwich,TRUE,FALSE,1,1,86,FALSE
5c41d2152b3f33000107545e,2020-06-12T20:54:19.441Z,Catalan,21,,,,,,UK,London,TRUE,FALSE,1,1,86,FALSE
