participant,group,trial_id,test_language,country,word,input_text,typing_offset,consonant_ratio,vowel_ratio,onset,pthn,freq,stress_overlap
11311,ENG-CAT,104,Catalan,UK,abella,tree,1.884000063,0,0,different,27,10.35,0
11311,ENG-CAT,105,Catalan,UK,aigua,air,2.700000048,0.222222222222222,0.222222222222222,different,0,225.06,0
11311,ENG-CAT,106,Catalan,UK,aixeta,,0.515000105,0.2,0.25,different,8,14.75,0
11311,ENG-CAT,107,Catalan,UK,amanida,handle,1.868000031,0.122222222222222,0.166666666666666,different,0,17.02,0
11311,ENG-CAT,108,Catalan,UK,ampolla,ampule,2.501999855,0.16,0,different,0,50.75,0
11311,ENG-CAT,109,Catalan,UK,arbre,tree,2.318000078,0.285714285714285,0.19047619047619,different,5,65,0
11311,ENG-CAT,110,Catalan,UK,berenar,,4.633999825,0.32,0.166666666666666,different,5,9.14,0
11311,ENG-CAT,111,Catalan,UK,bibero,baby bottle,11.58500004,0.32,0,same_consonant,0,50.75,0
11311,ENG-CAT,112,Catalan,UK,bici,bike,1.950000048,0.416666666666666,0.25,same_consonant,9,25.88,1
11311,ENG-CAT,113,Catalan,UK,boca,mouth,2.884000063,0.233333333333333,0.0416666666666666,different,0,104.41,0
11311,ENG-CAT,114,Catalan,UK,bol,ball,2.968000174,0.571428571428571,0.142857142857142,same_consonant,12,21.45,1
11311,ENG-CAT,115,Catalan,UK,bolet,,4.833999872,0.242424242424242,0.181818181818181,different,1,2.14,0
11311,ENG-CAT,116,Catalan,UK,bolquer,volcano,5.536000013,0.251851851851851,0.037037037037037,different,8,0.78,0
11311,ENG-CAT,117,Catalan,UK,boto,sparrow,6.504000187,0.5,0.125,same_consonant,0,28.25,0
11311,ENG-CAT,118,Catalan,UK,bou,d,5.869000196,0.333333333333333,0.333333333333333,same_consonant,6,27.51,1
11311,ENG-CAT,119,Catalan,UK,caixa,cash register,11.58400011,0.25,0,different,0,89.75,0
11311,ENG-CAT,120,Catalan,UK,cama,bed,0.883999825,0.361904761904761,0.238095238095238,different,2,56.51,0
11311,ENG-CAT,121,Catalan,UK,camisa,short,1.231999874,0.4,0.19047619047619,different,6,46.37,0
11311,ENG-CAT,122,Catalan,UK,casa,house,1.833999872,0.183333333333333,0.25,different,1,514,0
11311,ENG-CAT,123,Catalan,UK,cavall,horse,2.282999992,0.366666666666666,0.125,different,2,92.88,0
11311,ENG-CAT,124,Catalan,UK,cirera,mermaid,3.801000118,0.373333333333333,0.3,different,6,13.59,0
11311,ENG-CAT,125,Catalan,UK,colom,,2.28399992,0.413333333333333,0.166666666666666,different,0,5.9,0
11311,ENG-CAT,126,Catalan,UK,corona,cown,8.618000031,0.363636363636363,0.181818181818181,same_consonant,4,13.69,0
11311,ENG-CAT,127,Catalan,UK,cotxe,car,1.534999847,0.333333333333333,0.222222222222222,same_consonant,2,483.06,1
11311,ENG-CAT,128,Catalan,UK,cuc,rof,10.35300016,0.4,0.111111111111111,different,8,10.12,0
11311,ENG-CAT,129,Catalan,UK,dit,,1.117000103,0.333333333333333,0.25,different,0,36.67,0
11311,ENG-CAT,130,Catalan,UK,entrepa,people,4,0.235897435897435,0,different,0,21.92,0
11311,ENG-CAT,131,Catalan,UK,esponja,,4.082999945,0.655555555555555,0.138888888888888,different,0,6.71,1
11311,ENG-CAT,132,Catalan,UK,estrella,star,1.083999872,0.4,0,different,3,81.35,1
11311,ENG-CAT,133,Catalan,UK,estruc,ostrich,2.715000153,0.644444444444444,0.138888888888888,different,0,0.94,1
11311,ENG-CAT,134,Catalan,UK,flor,flower,1.585000038,0.5,0.0833333333333333,same_consonant,1,22.76,1
11311,ENG-CAT,135,Catalan,UK,formiga,ant,0.850000143,0.133333333333333,0,different,9,5.35,0
11311,ENG-CAT,136,Catalan,UK,forquilla,fork,4.518000126,0.4,0.133333333333333,same_consonant,12,8.82,1
11311,ENG-CAT,137,Catalan,UK,fulla,leaf,1.616999865,0.285714285714285,0,different,13,5.2,1
11311,ENG-CAT,138,Catalan,UK,galeta,cock,2.967999935,0.388888888888888,0.111111111111111,different,,,0
11311,ENG-CAT,139,Catalan,UK,galleda,cracker,19.67000008,0.351515151515151,0.242424242424242,different,1,10.02,0
11311,ENG-CAT,140,Catalan,UK,gat,cat,4.235000134,0.644444444444444,0.277777777777777,different,9,66.33,1
11311,ENG-CAT,141,Catalan,UK,gerd,unsure,4.717000008,0.433333333333333,0,different,4,16.78,1
11311,ENG-CAT,142,Catalan,UK,girafa,giraffe,1.334000111,0.533333333333333,0.303030303030303,different,0,1.49,1
11311,ENG-CAT,143,Catalan,UK,globus,gloves,3.235000134,0.424242424242424,0.181818181818181,different,0,8.67,0
11311,ENG-CAT,144,Catalan,UK,gorra,,4.650000095,0.399999999999999,0.0952380952380952,different,11,18.75,0
11311,ENG-CAT,145,Catalan,UK,got,god,4.733999968,0.577777777777777,0.277777777777777,different,6,51.65,0
11311,ENG-CAT,146,Catalan,UK,guitarra,guitar,1.802000046,0.4,0.333333333333333,same_consonant,0,15.59,1
11311,ENG-CAT,147,Catalan,UK,jaqueta,jacket,1.234000206,0.533333333333333,0.242424242424242,different,0,33.41,1
11311,ENG-CAT,148,Catalan,UK,lleo,unsure,4.282999992,0.2,0.25,different,1,15.35,0
11311,ENG-CAT,149,Catalan,UK,llibre,book,5.484999895,0.166666666666666,0.125,different,3,176.98,0
11311,ENG-CAT,150,Catalan,UK,lloro,gold,2.983999968,0.296296296296296,0.185185185185185,different,2,3.27,0
11311,ENG-CAT,151,Catalan,UK,lluna,moon,2.265000105,0.342857142857142,0.285714285714285,different,6,49.96,1
11311,ENG-CAT,152,Catalan,UK,ma,,1.131999969,0.0666666666666666,0.277777777777777,different,2,279.65,0
11311,ENG-CAT,153,Catalan,UK,mico,freind,2.017999887,0.222222222222222,0.222222222222222,same_consonant,1,33.51,1
11311,ENG-CAT,154,Catalan,UK,mirall,view,5.101000071,0.444444444444444,0.333333333333333,same_consonant,0,24.18,1
11311,ENG-CAT,155,Catalan,UK,moneda,coin,1.700999975,0.293333333333333,0.133333333333333,different,6,9.75,0
11311,ENG-CAT,156,Catalan,UK,moto,motorbike,2.75,0.307692307692307,0.179487179487179,same_consonant,0,0.75,1
11311,ENG-CAT,157,Catalan,UK,mussol,museum,1.815999985,0.25,0.25,different,10,5.61,0
11311,ENG-CAT,158,Catalan,UK,nas,,3.48300004,0.285714285714285,0.142857142857142,same_consonant,6,69.75,1
11311,ENG-CAT,159,Catalan,UK,onada,a bird,3.267999887,0.207407407407407,0.111111111111111,different,8,21.25,0
11311,ENG-CAT,160,Catalan,UK,orella,ear,2.284999847,0,0.428571428571428,different,9,32,0
11311,ENG-CAT,161,Catalan,UK,ovella,hotel,2.849999905,0,0,different,8,13.43,0
11311,ENG-CAT,162,Catalan,UK,pa,bread,1.884000063,0.311111111111111,0,different,5,28.33,0
11311,ENG-CAT,163,Catalan,UK,papallona,papaya,4.513999939,0.216666666666666,0.166666666666666,different,0,5.51,0
