participant,group,n,n_valid,n_correct,prop_correct,test_language,age,date,l2,l2oral,l2written,catalan_oral,catalan_written,spanish_oral,spanish_written,sex,vision,impairment,country,invalid_participant_trials,valid_participant
11311,ENG-CAT,86,72,41,0.569444444444445,Catalan,21,2020-06-08T18:39:26.172Z,Italian,4,3,1,1,2,1,Male,TRUE,FALSE,UK,FALSE,FALSE
11399,ENG-CAT,86,86,12,0.13953488372093,Catalan,21,2020-06-25T12:00:13.786Z,Several,5,5,1,1,2,1,Female,TRUE,FALSE,UK,FALSE,TRUE
55334jfdklgneroijnrpo3994493,SPA-CAT,85,82,40,0.487804878048781,Catalan,33,2020-06-22T11:06:37.843Z,None,4,3,1,1,,,Female,FALSE,FALSE,Spain,FALSE,FALSE
553772niofhwifwelfbwqilfbqfhi,SPA-CAT,85,83,34,0.409638554216867,Catalan,20,2020-06-22T00:11:59.816Z,None,4,4,3,1,,,Male,FALSE,FALSE,Spain,FALSE,TRUE
5583klnvweklnwvpio939vn932,SPA-CAT,85,83,38,0.457831325301205,Catalan,21,2020-06-28T20:45:58.015Z,Francã‰s,3,4,1,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
55ipnc9w0h32nce29jf2079jf0jf,SPA-CAT,85,84,38,0.452380952380952,Catalan,20,2020-06-19T14:04:01.378Z,None,,,2,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
55kvweighibv82hihv9322hhfh,SPA-CAT,85,78,37,0.474358974358974,Catalan,23,2020-06-19T09:35:18.844Z,None,3,4,2,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
55lvve0vwnrihv0rihqipejv1nfnr,SPA-CAT,85,84,41,0.488095238095238,Catalan,24,2020-06-20T16:49:30.265Z,None,3,4,1,1,,,Male,FALSE,FALSE,UK,FALSE,TRUE
55nf2389fyevievh89gf18f913h,SPA-CAT,85,75,44,0.586666666666667,Catalan,25,2020-06-19T09:30:37.357Z,None,3,3,3,1,,,Female,TRUE,FALSE,Spain,FALSE,TRUE
55nvwehvwoepvho2ph29vhjf3,SPA-CAT,85,78,38,0.487179487179487,Catalan,18,2020-06-19T10:41:53.182Z,Francã‰s,4,4,2,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5ae9730c0335e200019e996a,SPA-CAT,85,84,41,0.488095238095238,Catalan,23,2020-06-23T15:16:56.265Z,Francã‰s,4,4,2,1,,,Female,FALSE,FALSE,Spain,FALSE,TRUE
5b1ec77744127b0001400ec0,ENG-SPA,103,95,13,0.136842105263158,Spanish,26,2020-06-05T16:24:49.615Z,None,,,1,1,1,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5b6f4c673abd820001d6f637,ENG-SPA,103,103,32,0.310679611650485,Spanish,23,2020-06-05T12:50:08.756Z,None,,,1,1,2,2,Male,TRUE,FALSE,UK,FALSE,TRUE
5c2fb1412c45d400014ae103,ENG-CAT,86,75,17,0.226666666666667,Catalan,25,2020-06-05T16:21:27.837Z,French,3,2,1,1,1,1,Male,TRUE,FALSE,UK,FALSE,TRUE
5c41d2152b3f33000107545e,ENG-CAT,86,86,10,0.116279069767442,Catalan,21,2020-06-12T20:54:19.441Z,None,,,1,1,2,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5c70380bae7e770001d12831,ENG-CAT,86,81,17,0.209876543209877,Catalan,19,2020-06-05T12:52:55.642Z,None,1,1,1,1,2,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5c953449e4d1d200172f23f6,ENG-CAT,86,86,11,0.127906976744186,Catalan,20,2020-06-05T13:56:55.679Z,None,1,1,1,1,2,1,Female,TRUE,FALSE,UK,FALSE,TRUE
5cad1eef8ed53d00180d2532,ENG-CAT,86,85,21,0.247058823529412,Catalan,19,2020-06-12T20:49:37.894Z,None,,,1,1,2,2,Female,TRUE,FALSE,UK,FALSE,TRUE
