participant,trial_id,test_language,word,language_l1,input_text,typing_onset,typing_offset,orthography,phonology,translation_english_orthography,translation_english_phonology,ipa_english,translation_catalan_orthography,translation_catalan_phonology,translation_spanish_orthography,translation_spanish_phonology,lev_engspa,sim_engspa,sim_engspa_broad,lev_engcat,sim_engcat,sim_engcat_broad,lev_spacat,sim_spacat,sim_spacat_broad,frequency_zipf,soundfile,practice,length,accuracy
11311,104,Catalan,abella,English,tree,1.28399992,1.884000063,abella,/əˈbɛ.ʎə/,bee,/biː/,bii,abella,/əˈbɛ.ʎə/,abeja,/aˈβe.xa/,0.78,0.133333333333333,0.133333333333333,0.559999999999999,0.383333333333333,0.383333333333333,0.559999999999999,0.373333333333333,0.333333333333333,4.05357731,Sounds/cat_abella.wav,FALSE,6,0.0277777777777778
11311,105,Catalan,aigua,English,air,2.148999929,2.700000048,aigua,/ˈaj.ɡwə/,water,/ˈwɔːtə/,wɔɔtə,aigua,/ˈaj.ɡwə/,agua,/ˈaj.ɣwə/,0.8,0.4,0.4,0.8,0.4,0.4,0.08,0.94,0.9,5.6986085,Sounds/cat_aigua.wav,FALSE,5,0.08
11311,106,Catalan,aixeta,English,,0.515000105,0.515000105,aixeta,/əˈʃɛ.tə/,tap,/tæp/,tæp,aixeta,/əˈʃɛ.tə/,grifo,/ˈɡɾi.fo/,1,0,0,0.9,0.316666666666666,0.316666666666666,0.76,0.2,0.2,3.90349067,Sounds/cat_aixeta.wav,FALSE,,
11311,107,Catalan,amanida,English,handle,1.25,1.868000031,amanida,/ə.məˈni.ðə/,salad,/ˈsæləd/,sæləd,amanida,/ə.məˈni.ðə/,ensalada,/en.saˈlada/,0.35,0.628205128205128,0.628205128205128,0.928571428571428,0.166666666666666,0.166666666666666,0.712499999999999,0.216666666666666,0.216666666666666,4.34131654,Sounds/cat_amanida.wav,FALSE,7,0.0408163265306122
11311,108,Catalan,ampolla,English,ampule,1.56799984,2.501999855,ampolla,/əmˈpo.ʎə/,bottle,/ˈbɒtl/,bɒtəl,ampolla,/əmˈpo.ʎə/,botella,/boˈte.ʎa/,0.483333333333333,0.669191919191919,0.769191919191919,0.816666666666666,0.181818181818181,0.181818181818181,0.633333333333333,0.388888888888888,0.388888888888888,4.47589671,Sounds/cat_ampolla.wav,FALSE,7,0.0816326530612245
11311,110,Catalan,berenar,English,,4.633999825,4.633999825,berenar,/bə.ɾəˈna/,snack,/snæk/,snæk,berenar,/bə.ɾəˈna/,merienda,/meˈɾjen.da/,0.8125,0.291666666666666,0.291666666666666,0.85,0.366666666666666,0.366666666666666,0.4,0.536904761904761,0.511904761904761,4.25673174,Sounds/cat_berenar.wav,FALSE,,
11311,111,Catalan,bibero,English,baby bottle,3.867000103,11.58500004,biberó,/bi.βəˈɾo/,bottle,/ˈbɒtl/,bɒtəl,biberó,/bi.βəˈɾo/,biberón,/biβeˈɾon/,0.585714285714285,0.361904761904761,0.476190476190476,0.666666666666666,0.48030303030303,0.613636363636363,0.199999999999999,0.935897435897435,0.935897435897435,3.71874863,Sounds/cat_bibero.wav,FALSE,11,0.0165289256198347
11311,112,Catalan,bici,English,bike,1.032000065,1.950000048,bici,/ˈbi.si/,bike,/baɪk/,baɪk,bici,/ˈbi.si/,bici,/ˈbi.θi/,0.6,0.625,0.625,0.6,0.625,0.625,0.1,0.975,1,4.22644166,Sounds/cat_bici.wav,FALSE,4,0.125
11311,113,Catalan,boca,English,mouth,0.5,2.884000063,boca,/ˈbo.kə/,mouth,/maʊθ/,maʊθ,boca,/ˈbo.kə/,boca,/'bo.ka/,0.85,0.3,0.25,0.85,0.05,0,0.2,0.958333333333333,0.958333333333333,4.95078911,Sounds/cat_boca.wav,FALSE,5,0.04
11311,114,Catalan,bol,English,ball,2.434000015,2.968000174,bol,/ˈbɔɫ/,bowl,/bəʊl/,bəʊl,bol,/ˈbɔɫ/,bol,/ˈbol/,0.225,0.779761904761904,0.779761904761904,0.225,0.744047619047619,0.744047619047619,0,1,1,4.08723575,Sounds/cat_bol.wav,FALSE,4,0.125
11311,115,Catalan,bolet,English,,4.833999872,4.833999872,bolet,/buˈɫɛt/,mushroom,/ˈmʌʃrʊm/,mʌʃrʊm,bolet,/buˈɫɛt/,seta,/'se.ta/,0.816666666666666,0.111111111111111,0.277777777777777,0.833333333333333,0.366666666666666,0.333333333333333,1,0.422222222222222,0.422222222222222,4.22253744,Sounds/cat_bolet.wav,FALSE,,
11311,116,Catalan,bolquer,English,volcano,4.667999983,5.536000013,bolquer,/buɫˈke/,nappy,/ˈnæpi/,næpɪ,bolquer,/buɫˈke/,pañal,/paˈɲal/,1,0.355555555555555,0.355555555555555,0.76,0,0,0.84,0.32,0.32,3.23076945,Sounds/cat_bolquer.wav,FALSE,7,0.0408163265306122
11311,117,Catalan,boto,English,sparrow,5.268000126,6.504000187,botó,/buˈto/,button,/ˈbʌtn/,bʌtən,botó,/buˈto/,botón,/boˈton/,0.16,0.899999999999999,0.899999999999999,0.42,0.677777777777777,0.677777777777777,0.279999999999999,0.899999999999999,0.899999999999999,4.28114757,Sounds/cat_boto.wav,FALSE,7,0
