group,trial_id,participant,country,word,input_text,response_type,test_language,accuracy,correct,typing_onset,valid_response,word1,word2,consonant_ratio,vowel_ratio,onset,overlap_stress,phon_clearpond,frequency,pthn,phon_trace,zipf,pthn_log
ENG-CAT,104,11399,UK,abella,party,wrong,Catalan,6,FALSE,2.049999952,TRUE,abella,bee,0,0,Different,No overlap,,,,bii,,
ENG-CAT,104,55lvve0vwnrihv0rihqipejv1nfnr,Spain,abella,avellana,wrong,Catalan,3,FALSE,0.497999907,TRUE,abella,bee,0,0,Different,No overlap,,,,bii,,
ENG-CAT,104,5c2fb1412c45d400014ae103,UK,abella,na,wrong,Catalan,5,FALSE,1.133000135,TRUE,abella,bee,0,0,Different,No overlap,,,,bii,,
ENG-CAT,104,5c41d2152b3f33000107545e,UK,abella,avocado,wrong,Catalan,6,FALSE,0.266000032,TRUE,abella,bee,0,0,Different,No overlap,,,,bii,,
ENG-CAT,104,5c70380bae7e770001d12831,UK,abella,beautiful,wrong,Catalan,8,FALSE,1.383999825,TRUE,abella,bee,0,0,Different,No overlap,,,,bii,,
ENG-CAT,104,5c953449e4d1d200172f23f6,UK,abella,very,wrong,Catalan,5,FALSE,5.28399992,TRUE,abella,bee,0,0,Different,No overlap,,,,bii,,
ENG-CAT,104,5cad1eef8ed53d00180d2532,UK,abella,avocado,wrong,Catalan,6,FALSE,2.44900012,TRUE,abella,bee,0,0,Different,No overlap,,,,bii,,
ENG-CAT,104,5d486df3beeecd0001d02647,UK,abella,umbrella,wrong,Catalan,3,FALSE,7.000999928,TRUE,abella,bee,0,0,Different,No overlap,,,,bii,,
ENG-CAT,104,5d5eb07672a0690001cee147,UK,abella,angle,wrong,Catalan,4,FALSE,11.23799992,TRUE,abella,bee,0,0,Different,No overlap,,,,bii,,
ENG-CAT,104,5e0ce0bbda6bad4819153380,UK,abella,mother,wrong,Catalan,6,FALSE,0.997999907,TRUE,abella,bee,0,0,Different,No overlap,,,,bii,,
ENG-CAT,104,5e73ed268c8f27364de746c5,UK,abella,mum,wrong,Catalan,6,FALSE,0.888000011,TRUE,abella,bee,0,0,Different,No overlap,,,,bii,,
