"trial_id","practice","word","orthography","phonology","language","word_english_orthography","word_english_phonology","word_catalan_orthography","word_catalan_phonology","word_spanish_orthography","word_spanish_phonology","pthn_spa","pthn_eng","freq_spa","freq_eng","stress_overlap_engspa","stress_overlap_engcat","stress_overlap_spacat","consonant_ratio_engspa","vowel_ratio_engspa","same_onset_engspa","consonant_ratio_spacat","vowel_ratio_spacat","same_onset_spacat"
104,0,"abella","abella","/əˈbɛ.ʎə/","Catalan","bee","/biː/","abella","/əˈbɛ.ʎə/","abeja","/aˈβe.xa/",1,27,7.48,10.35,0,0,1,,,,0.35,0.37,"different"
105,0,"aigua","aigua","/ˈaj.ɡwə/","Catalan","water","/ˈwɔːtə/","aigua","/ˈaj.ɡwə/","agua","/ˈaj.ɣwə/",0,0,249.93,225.06,0,0,1,,,,0.57,0.40,"same_vowel"
106,0,"aixeta","aixeta","/əˈʃɛ.tə/","Catalan","tap","/tæp/","aixeta","/əˈʃɛ.tə/","grifo","/ˈɡɾi.fo/",3,8,2.19,14.75,0,0,0,,,,0.29,0.27,"different"
107,0,"amanida","amanida","/ə.məˈni.ðə/","Catalan","salad","/ˈsæləd/","amanida","/ə.məˈni.ðə/","ensalada","/en.saˈlada/",0,0,23.00,17.02,1,0,0,,,,0.13,0.11,"different"
108,0,"ampolla","ampolla","/əmˈpo.ʎə/","Catalan","bottle","/ˈbɒtl/","ampolla","/əmˈpo.ʎə/","botella","/boˈte.ʎa/",0,0,43.08,50.75,1,0,0,,,,0.17,0.25,"different"
110,0,"berenar","berenar","/bə.ɾəˈna/","Catalan","snack","/snæk/","berenar","/bə.ɾəˈna/","merienda","/meˈɾjen.da/",0,5,1.56,9.14,0,0,1,,,,0.42,0.26,"different"
111,0,"bibero","biberó","/bi.βəˈɾo/","Catalan","bottle","/ˈbɒtl/","biberó","/bi.βəˈɾo/","biberón","/biβeˈɾon/",,0,,50.75,0,0,1,,,,0.46,0.44,"same_consonant"
112,0,"bici","bici","/ˈbi.si/","Catalan","bike","/baɪk/","bici","/ˈbi.si/","bici","/ˈbi.θi/",1,9,5.19,25.88,1,1,1,,,,0.48,0.50,"same_consonant"
113,0,"boca","boca","/ˈbo.kə/","Catalan","mouth","/maʊθ/","boca","/ˈbo.kə/","boca","/'bo.ka/",0,0,137.98,104.41,0,0,1,,,,0.50,0.38,"same_consonant"
114,0,"bol","bol","/ˈbɔɫ/","Catalan","bowl","/bəʊl/","bol","/ˈbɔɫ/","bol","/ˈbol/",10,12,1.47,21.45,1,1,1,,,,0.67,0.28,"same_consonant"
115,0,"bolet","bolet","/buˈɫɛt/","Catalan","mushroom","/ˈmʌʃrʊm/","bolet","/buˈɫɛt/","seta","/'se.ta/",,1,,2.14,0,0,0,,,,0.36,0.07,"different"
116,0,"bolquer","bolquer","/buɫˈke/","Catalan","nappy","/ˈnæpi/","bolquer","/buɫˈke/","pañal","/paˈɲal/",,8,,0.78,0,0,0,,,,0.39,0.00,"different"
117,0,"boto","botó","/buˈto/","Catalan","button","/ˈbʌtn/","botó","/buˈto/","botón","/boˈton/",,0,,28.25,0,0,1,,,,0.44,0.41,"same_consonant"
