group,trial_id,test_language,word,freq,pthn,consecutive_longest,same_onset,close_substitutions,similarity_ort,similarity_phon,correct,n,proportion
ENG-CAT,104,Catalan,abella,4.01506201912484,27,,Different,0,0.444444444444444,0.285714285714285,0,29,0
ENG-CAT,105,Catalan,aigua,5.35229599890845,0,,Different,0,0.2,0.444444444444444,11,31,0.354838709677419
ENG-CAT,106,Catalan,aixeta,4.16864772224563,8,0,Different,0,0.444444444444444,0.25,0,32,0
ENG-CAT,107,Catalan,amanida,4.2309493489428,0,1,Different,0,0.5,0.166666666666666,0,30,0
ENG-CAT,108,Catalan,ampolla,4.70539411267981,0,1,Different,0,0.307692307692307,0,0,29,0
ENG-CAT,109,Catalan,arbre,4.81291335664286,5,1,Different,0,0.444444444444444,0.285714285714285,0,30,0
ENG-CAT,110,Catalan,berenar,3.96081788410031,5,,Different,0.2,0.333333333333333,0.2,0,33,0
ENG-CAT,111,Catalan,bibero,4.70539411267981,0,1,Same,0,0.333333333333333,0.2,1,30,0.0333333333333333
ENG-CAT,112,Catalan,bici,4.41300454473353,9,1,Same,0,0.5,0.5,2,32,0.0625
ENG-CAT,113,Catalan,boca,5.01874958281658,0,1,Different,0.25,0.222222222222222,0,1,33,0.0303030303030303
ENG-CAT,114,Catalan,bol,4.3314475428778,12,1,Same,0,0.857142857142857,0.571428571428571,5,33,0.151515151515152
ENG-CAT,115,Catalan,bolet,3.32986548575801,1,,Different,0.181818181818181,0.153846153846153,0.181818181818181,0,32,0
ENG-CAT,116,Catalan,bolquer,2.89448775232634,8,1,Different,0,0,0,0,32,0
ENG-CAT,117,Catalan,boto,4.45109377457764,0,1,Same,0,0.4,0.5,4,33,0.121212121212121
ENG-CAT,118,Catalan,bou,4.43948743302101,6,,Same,0,0.571428571428571,0.666666666666666,3,33,0.0909090909090909
ENG-CAT,119,Catalan,caixa,4.95301074581799,0,1,Different,0,0.25,0.25,0,33,0
ENG-CAT,120,Catalan,cama,4.75212377024162,2,0,Different,0.285714285714285,0,0,2,33,0.0606060606060606
ENG-CAT,121,Catalan,camisa,4.66626050989058,6,0,Different,0.222222222222222,0.181818181818181,0,8,33,0.242424242424242
ENG-CAT,122,Catalan,casa,5.71096311899528,1,,Different,0,0.222222222222222,0.25,10,33,0.303030303030303
ENG-CAT,123,Catalan,cavall,4.96793342866517,2,0,Different,0,0,0,4,32,0.125
ENG-CAT,124,Catalan,cirera,4.13316193047479,6,1,Different,0,0.5,0.2,0,31,0
ENG-CAT,125,Catalan,colom,3.77099920516394,0,,Different,0,0.181818181818181,0,0,32,0
ENG-CAT,126,Catalan,corona,4.13628605538239,4,1,Same,0,0.727272727272727,0.545454545454545,2,28,0.0714285714285714
ENG-CAT,127,Catalan,cotxe,5.68399999816614,2,1,Same,0,0.25,0.333333333333333,1,32,0.03125
ENG-CAT,128,Catalan,cuc,4.00507750555024,8,0,Different,0,0,0,0,33,0
ENG-CAT,129,Catalan,dit,4.56427182525155,0,0,Different,0,0.222222222222222,0.25,1,33,0.0303030303030303
ENG-CAT,130,Catalan,entrepa,4.34087224898259,0,1,Different,0,0.133333333333333,0.153846153846153,1,31,0.032258064516129
ENG-CAT,131,Catalan,esponja,3.82645707283691,0,2,Different,0.333333333333333,0.615384615384615,0.5,26,33,0.787878787878788
ENG-CAT,132,Catalan,estrella,4.91037303891454,3,2,Different,0,0.5,0.4,0,33,0
ENG-CAT,133,Catalan,estruc,2.9736726898789,0,3,Different,0,0.461538461538461,0.5,0,33,0
ENG-CAT,134,Catalan,flor,4.35726193141983,1,2,Same,0,0.8,0.5,6,33,0.181818181818182
ENG-CAT,135,Catalan,formiga,3.72858913020319,9,0,Different,0,0.2,0,0,31,0
ENG-CAT,136,Catalan,forquilla,3.94564089002672,12,0,Same,0,0.461538461538461,0.4,8,33,0.242424242424242
ENG-CAT,137,Catalan,fulla,3.71567750056694,13,,Different,0,0.222222222222222,0.285714285714285,0,32,0
ENG-CAT,138,Catalan,galeta,,,1,Different,0,0.153846153846153,0.166666666666666,0,33,0
ENG-CAT,139,Catalan,galleda,4.0008503840801,1,1,Different,0,0.153846153846153,0,0,32,0
ENG-CAT,140,Catalan,gat,4.82173160345156,9,1,Different,0.666666666666666,0.666666666666666,0.333333333333333,7,33,0.212121212121212
ENG-CAT,141,Catalan,gerd,4.22490323343172,4,,Different,0,0.444444444444444,0.25,0,33,0
ENG-CAT,142,Catalan,girafa,3.17324455906157,0,2,Different,0.181818181818181,0.769230769230769,0.545454545454545,26,33,0.787878787878788
ENG-CAT,143,Catalan,globus,3.93785376361134,0,1,Different,0,0.307692307692307,0.363636363636363,0,32,0
ENG-CAT,144,Catalan,gorra,4.27288776160645,11,,Different,0.285714285714285,0.25,0,0,33,0
ENG-CAT,145,Catalan,got,4.71304594077614,6,,Different,0.666666666666666,0,0,0,33,0
ENG-CAT,146,Catalan,guitarra,4.19279596924916,0,3,Same,0,0.857142857142857,0.6,31,33,0.939393939393939
ENG-CAT,147,Catalan,jaqueta,4.52389987309428,0,1,Different,0.181818181818181,0.615384615384615,0.363636363636363,18,31,0.580645161290323
ENG-CAT,148,Catalan,lleo,4.18619042118397,1,1,Different,0,0.25,0.25,0,32,0
ENG-CAT,149,Catalan,llibre,5.24792517233257,3,0,Different,0,0.2,0,4,32,0.125
ENG-CAT,150,Catalan,lloro,3.51514499476482,2,1,Different,0,0.363636363636363,0.222222222222222,1,31,0.032258064516129
ENG-CAT,151,Catalan,lluna,4.69862938392155,6,2,Different,0,0.222222222222222,0.571428571428571,20,31,0.645161290322581
ENG-CAT,152,Catalan,ma,5.44661031996133,2,1,Different,0.333333333333333,0.333333333333333,0,0,32,0
ENG-CAT,153,Catalan,mico,4.5251718357984,1,1,Same,0,0.4,0.444444444444444,1,33,0.0303030303030303
ENG-CAT,154,Catalan,mirall,4.38339342883626,0,,Same,0,0.5,0.666666666666666,14,33,0.424242424242424
ENG-CAT,155,Catalan,moneda,3.98878630001858,6,1,Different,0,0.4,0.2,5,30,0.166666666666667
ENG-CAT,156,Catalan,moto,2.87221456339759,0,1,Same,0,0.615384615384615,0.307692307692307,2,33,0.0606060606060606
ENG-CAT,157,Catalan,mussol,3.74879251629147,10,1,Different,0,0.444444444444444,0.5,1,33,0.0303030303030303
ENG-CAT,158,Catalan,nas,4.84351370129742,6,1,Same,0,0.571428571428571,0.285714285714285,3,33,0.0909090909090909
ENG-CAT,159,Catalan,onada,4.32745906604036,8,0,Different,0.222222222222222,0.222222222222222,0,0,29,0
ENG-CAT,160,Catalan,orella,4.50514997831991,9,,Different,0,0.222222222222222,0.285714285714285,2,31,0.0645161290322581
ENG-CAT,161,Catalan,ovella,4.12812128300274,8,0,Different,0,0.181818181818181,0,1,32,0.03125
ENG-CAT,162,Catalan,pa,4.45229716005965,5,0,Different,0.333333333333333,0.285714285714285,0,1,33,0.0303030303030303
ENG-CAT,163,Catalan,papallona,3.74113583470064,0,1,Different,0.125,0.111111111111111,0.125,3,33,0.0909090909090909
ENG-CAT,164,Catalan,patata,4.05285162873962,0,1,Same,0,0.666666666666666,0.714285714285714,32,33,0.96969696969697
ENG-CAT,165,Catalan,pernil,4.06401598205699,18,,Different,0,0,0,0,32,0
ENG-CAT,166,Catalan,peu,4.81238921452155,5,,Different,0,0,0,0,33,0
ENG-CAT,167,Catalan,pingui,3.45975424911451,0,5,Same,0,0.461538461538461,0.769230769230769,27,33,0.818181818181818
ENG-CAT,168,Catalan,planta,4.4410318001225,4,,Same,0,0.909090909090909,0.727272727272727,25,33,0.757575757575758
ENG-CAT,169,Catalan,plat,4.40903826515154,7,2,Same,0,0.888888888888888,0.666666666666666,2,32,0.0625
ENG-CAT,170,Catalan,ploma,3.82134973640513,6,0,Different,0,0.166666666666666,0.222222222222222,0,33,0
ENG-CAT,171,Catalan,pollastre,4.79046461656851,0,0,Different,0,0.125,0,2,30,0.0666666666666667
ENG-CAT,172,Catalan,poma,4.37413770568135,0,0,Different,0,0.222222222222222,0.285714285714285,5,33,0.151515151515152
ENG-CAT,173,Catalan,porc,,,,Same,0,0.75,0.857142857142857,22,32,0.6875
ENG-CAT,174,Catalan,porta,5.46547029646465,5,0,Different,0,0.444444444444444,0.285714285714285,2,32,0.0625
ENG-CAT,175,Catalan,raspall,4.15096816435042,2,0,Different,0.2,0.333333333333333,0.2,0,33,0
ENG-CAT,176,Catalan,samarreta,,,1,Different,0,0.375,0.153846153846153,0,33,0
ENG-CAT,177,Catalan,sol,4.84302523918774,13,1,Same,0.333333333333333,0.333333333333333,0.333333333333333,14,33,0.424242424242424
ENG-CAT,178,Catalan,taronja,4.34857158984236,0,1,Different,0.166666666666666,0.307692307692307,0.166666666666666,2,33,0.0606060606060606
ENG-CAT,179,Catalan,tigre,4.26786135666871,0,1,Same,0,0.8,0.8,17,31,0.548387096774194
ENG-CAT,180,Catalan,tisores,3.82518585855952,1,1,Different,0.166666666666666,0.666666666666666,0.5,1,30,0.0333333333333333
ENG-CAT,181,Catalan,tobogan,4.25099299046588,2,1,Different,0,0,0.166666666666666,7,33,0.212121212121212
ENG-CAT,182,Catalan,tomaquet,3.77099920516394,0,1,Same,0,0.571428571428571,0.285714285714285,25,33,0.757575757575758
ENG-CAT,183,Catalan,tren,4.97799232756165,0,3,Same,0.222222222222222,0.666666666666666,0.666666666666666,10,33,0.303030303030303
ENG-CAT,184,Catalan,ull,5.04838081158114,18,,Different,0,0,0,0,32,0
ENG-CAT,185,Catalan,ulleres,4.52005885635792,0,1,Different,0,0.428571428571428,0.166666666666666,0,31,0
ENG-CAT,186,Catalan,ungla,4.27061129984832,8,,Different,0,0.444444444444444,0.222222222222222,0,31,0
ENG-CAT,187,Catalan,vaixell,4.98129432972428,5,1,Same,0,0.181818181818181,0.444444444444444,0,32,0
ENG-CAT,188,Catalan,xocolata,4.46823209414004,0,1,Different,0.133333333333333,0.705882352941176,0.4,31,33,0.939393939393939
ENG-CAT,189,Catalan,zebra,3.39963911496427,0,2,Same,0.2,1,0.6,30,33,0.909090909090909
ENG-SPA,1,Spanish,arbol,4.81291335664286,5,1,Different,0,0.222222222222222,0.25,0,27,0
ENG-SPA,2,Spanish,avestruz,2.9736726898789,0,3,Different,0,0.4,0.428571428571428,0,28,0
ENG-SPA,3,Spanish,barco,4.98129432972428,5,1,Same,0,0.444444444444444,0.222222222222222,0,28,0
ENG-SPA,4,Spanish,biberon,4.70539411267981,0,1,Same,0,0.307692307692307,0.181818181818181,0,27,0
ENG-SPA,5,Spanish,bici,4.41300454473353,9,1,Same,0,0.5,0.5,1,28,0.0357142857142857
ENG-SPA,6,Spanish,boca,5.01874958281658,0,1,Different,0.25,0.222222222222222,0.25,1,28,0.0357142857142857
ENG-SPA,7,Spanish,bocadillo,4.34087224898259,0,1,Different,0,0.117647058823529,0.142857142857142,2,27,0.0740740740740741
ENG-SPA,8,Spanish,bol,4.3314475428778,12,1,Same,0,0.857142857142857,0.571428571428571,4,28,0.142857142857143
