Word_eng,PhoWord_eng,LengthO_eng,LengthP_eng,Freq_eng,PTHN_eng,PTHF_eng,PTHW_eng,sPTHN_eng,sPTHF_eng,sPTHW_eng,PTHN_spa
hand,h.1.n.d,4,4,279.6471,2,7531.8824,and;had,0,,,1
dog,d.A.g,3,3,192.8431,1,6295.7843,don,0,,,0
door,d.or,4,2,292.0588,5,3367.2784,for;do;more;day;or,1,32894.6875,de,3
house,h.aU.s,5,3,514,1,3056.2157,How,0,,,0
cat,k.1.t,3,3,66.3333,9,2587.5185,that;can;cut;catch;court;caught;fat;cash;at,0,,,0
car,k.Ar,3,2,483.0588,2,2847.2549,care;are,2,22638.149,que;qu�,0
eye,aI,3,1,111.7843,18,2473.6449,a;are;Oh;or;uh;Ah;air;my;Why;by;guy;Hi;die;eyes;high;buy;Bye;lie,9,3282.6282,a;o;ha;he;hoy;oh;ah;eh;e,1
nose,n.oU.z,4,3,69.7451,6,2158.5392,those;goes;news;known;No;know,0,,,1
hat,h.1.t,3,3,64.1765,14,1997.3053,that;have;had;has;hit;hurt;heart;hate;half;hot;hang;fat;cat;at,0,,,0
ant,1.n.t,3,3,5.3529,9,1871.5708,and;act;Annie;Anna;at;Ann;Anne;Auntie;ants,0,,,10
bee,b.i,3,2,10.3529,27,1529.6855,me;we;he;re;she;see;by;boy;buy;Bye;key;bar;sea;tea;bear;Lee;Gee;thee;Bay;bow;pee;knee;Boo;beat;beach;beef;Abby,12,2098.746,s�;mi;si;voy;m�;ti;va;ah�;ni;ve;o�;v�a,
tree,t.r0.i,4,3,65,5,1509.8627,three;try;TRUE;free;re,1,1193.0769,ti,0
doll,d.A.l,4,3,24.7647,5,1371.6941,don;deal;dog;Doc;dollar,1,3747.3077,del,0
cup,k.V.p,3,3,51.6471,6,1342.1928,Come;keep;cut;cop;up;couple,0,,,4
arm,Ar.m,3,2,65.4118,5,1338.3843,am;Um;art;are;army,0,,,1
book,b.U.k,4,3,176.9804,3,1432.8889,back;look;took,0,,,0
