consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
space,2.08100009,e,5.102000237,,4,14.4380002,3,6.955000162,,,,,1,8.331000328,1,5.257000208,1,9.019000053,33,m,3.08100009,4,13.16300011,SANTANDER,n,5.846000195,n,5.988000154,1,5.96600008,2,9.974000216,space,26.38600016,u,1.609999895,U,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-22_11h06.37.843,TranslationElicitation_spa,3.2.4,Win32,60,55334jfdklgneroijnrpo3994493,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1.808000088,UN,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-22_11h06.37.843,TranslationElicitation_spa,3.2.4,Win32,60,55334jfdklgneroijnrpo3994493,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.957999945,UNA,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-22_11h06.37.843,TranslationElicitation_spa,3.2.4,Win32,60,55334jfdklgneroijnrpo3994493,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.690000057,,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-22_11h06.37.843,TranslationElicitation_spa,3.2.4,Win32,60,55334jfdklgneroijnrpo3994493,2.690000057,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-22_11h06.37.843,TranslationElicitation_spa,3.2.4,Win32,60,55334jfdklgneroijnrpo3994493,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.09800005,A,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-22_11h06.37.843,TranslationElicitation_spa,3.2.4,Win32,60,55334jfdklgneroijnrpo3994493,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2.730999947,AR,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-22_11h06.37.843,TranslationElicitation_spa,3.2.4,Win32,60,55334jfdklgneroijnrpo3994493,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,2.897000074,ARB,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-22_11h06.37.843,TranslationElicitation_spa,3.2.4,Win32,60,55334jfdklgneroijnrpo3994493,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,3.131000042,ARBO,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-22_11h06.37.843,TranslationElicitation_spa,3.2.4,Win32,60,55334jfdklgneroijnrpo3994493,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,3.697000027,ARBOL,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-22_11h06.37.843,TranslationElicitation_spa,3.2.4,Win32,60,55334jfdklgneroijnrpo3994493,,,,,,,
