consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
space,5.590000153,e,5.404000044,,4,12.91300011,4,8.937000036,,,,,3,8.990000248,1,4.582000256,1,10.05500007,20,h,3.404000044,3,8.601000071,OVIEDO,n,6.268000126,n,3.651000023,1,6.142000198,3,13.71700025,space,26.5400002,d,36.52699995,D,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-22_00h11.59.816,TranslationElicitation_spa,3.2.4,Win32,60,553772niofhwifwelfbwqilfbqfhi,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,37.60800004,,TRUE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-22_00h11.59.816,TranslationElicitation_spa,3.2.4,Win32,60,553772niofhwifwelfbwqilfbqfhi,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,38.39100003, ,TRUE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-22_00h11.59.816,TranslationElicitation_spa,3.2.4,Win32,60,553772niofhwifwelfbwqilfbqfhi,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,38.79099989,,TRUE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-22_00h11.59.816,TranslationElicitation_spa,3.2.4,Win32,60,553772niofhwifwelfbwqilfbqfhi,38.79099989,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-22_00h11.59.816,TranslationElicitation_spa,3.2.4,Win32,60,553772niofhwifwelfbwqilfbqfhi,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,2.391000032,T,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-22_00h11.59.816,TranslationElicitation_spa,3.2.4,Win32,60,553772niofhwifwelfbwqilfbqfhi,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,2.74000001,TI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-22_00h11.59.816,TranslationElicitation_spa,3.2.4,Win32,60,553772niofhwifwelfbwqilfbqfhi,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,3.055999994,TIG,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-22_00h11.59.816,TranslationElicitation_spa,3.2.4,Win32,60,553772niofhwifwelfbwqilfbqfhi,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,3.190000057,TIGR,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-22_00h11.59.816,TranslationElicitation_spa,3.2.4,Win32,60,553772niofhwifwelfbwqilfbqfhi,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.273000002,TIGRE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-22_00h11.59.816,TranslationElicitation_spa,3.2.4,Win32,60,553772niofhwifwelfbwqilfbqfhi,,,,,,,
