consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
space,1.697999954,e,5.320999861,FRANCÉS,4,12.74799991,4,5.187999964,3,3.902999878,3,2.9599998,2,3.927999973,1,2.68599987,1,5.151999712,18,m,2.108999729,3,4.117999792,GRANADA,n,2.588999987,n,2.25,1,2.805999994,2,5.032999754,space,14.67400002,s,6.529999971,S,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apostrophe,7.378999949,S,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,7.878999949,SÍ,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.112999916,,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,9.112999916,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,2.248000145,C,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,2.947999954,CH,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.09800005,CHA,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,3.298000097,CHAQ,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,3.480999947,CHAQU,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.59800005,CHAQUE,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,3.914999962,CHAQUET,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,4.015000105,CHAQUETA,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.697999954,,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,4.697999954,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.83100009,T,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,2.430999994,TI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,2.69900012,TIG,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2.933000088,TIGR,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.046999931,TIGRE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.280999899,,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,4.280999899,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,1.648999929,U,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1.881999969,UN,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.082000017,UN ,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,2.417999983,UN H,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.486000061,UN HA,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,2.631999969,UN HAD,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.782999992,UN HADA,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.233999968,,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,3.233999968,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.644999981,A,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,2.561999798,,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apostrophe,3.194999933,,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.260999918,Á,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,3.494999886,ÁR,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,3.631999969,ÁRB,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,4.07799983,ÁRBO,TRUE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-19_10h41.53.182,TranslationElicitation_spa,3.2.4,Win32,60,55nvwehvwoepvho2ph29vhjf3,,,,,,,
