consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
space,2.67599988,e,3.22300005,FRANCÉS,4,7.368999958,4,3.440000057,3,2.762999773,4,2.439999819,2,8.40899992,1,3.842000008,1,5.665999889,23,m,1.486000061,4,5.749000072,MURCIA,n,6.017999887,n,2.391000032,1,2.569000006,2,9.347000122,space,15.39699984,t,1.996000051,T,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-23_15h16.56.265,TranslationElicitation_spa,3.2.4,MacIntel,60,5ae9730c0335e200019e996a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,2.131999969,TI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-23_15h16.56.265,TranslationElicitation_spa,3.2.4,MacIntel,60,5ae9730c0335e200019e996a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,2.263000011,TIG,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-23_15h16.56.265,TranslationElicitation_spa,3.2.4,MacIntel,60,5ae9730c0335e200019e996a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2.479000092,TIGR,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-23_15h16.56.265,TranslationElicitation_spa,3.2.4,MacIntel,60,5ae9730c0335e200019e996a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.679000139,TIGRE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-23_15h16.56.265,TranslationElicitation_spa,3.2.4,MacIntel,60,5ae9730c0335e200019e996a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.113000154,,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-23_15h16.56.265,TranslationElicitation_spa,3.2.4,MacIntel,60,5ae9730c0335e200019e996a,4.113000154,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-23_15h16.56.265,TranslationElicitation_spa,3.2.4,MacIntel,60,5ae9730c0335e200019e996a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.698999882,A,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-23_15h16.56.265,TranslationElicitation_spa,3.2.4,MacIntel,60,5ae9730c0335e200019e996a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,1.932999849,AR,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-23_15h16.56.265,TranslationElicitation_spa,3.2.4,MacIntel,60,5ae9730c0335e200019e996a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,2.231999874,ARB,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-23_15h16.56.265,TranslationElicitation_spa,3.2.4,MacIntel,60,5ae9730c0335e200019e996a,,,,,,,
