consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,2.868999958,e,2.602999926,,,,,,,,,,1,4.052999973,1,8.747999907,1,4.889999866,1,2.684999943,1,1.36500001,1,1.055000067,26,f,1.542999744,3,3.059999943,LSHIFTSPALDING,y,3.555999994,n,1.964999914,1,1.839999914,1,2.780999899,space,18.79799986,c,9.177000046,C,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_16h24.49.615,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b1ec77744127b0001400ec0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,10.32500005,,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_16h24.49.615,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b1ec77744127b0001400ec0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,13.31700015,G,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_16h24.49.615,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b1ec77744127b0001400ec0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,13.43400002,GI,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_16h24.49.615,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b1ec77744127b0001400ec0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,13.53400016,GIR,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_16h24.49.615,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b1ec77744127b0001400ec0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,13.60100007,GIRL,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_16h24.49.615,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b1ec77744127b0001400ec0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,13.81700015,GIRL,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_16h24.49.615,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b1ec77744127b0001400ec0,13.81700015,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_16h24.49.615,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b1ec77744127b0001400ec0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,1.697000027,H,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-05_16h24.49.615,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b1ec77744127b0001400ec0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,1.828999996,HE,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-05_16h24.49.615,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b1ec77744127b0001400ec0,,,,,,,
