consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,4.95600009,e,5.115000248,,,,,,,,,,1,6.686000109,1,4.17200017,1,38.06100011,2,7.565000296,2,10.07000017,1,7.039000273,23,m,2.004000187,4,7.281000376,LONDON,y,2.688000202,n,2.906000137,1,4.346000195,1,8.955000162,space,22.3130002,c,4.09800005,C,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,4.219000101,CH,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,4.431999922,CHE,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,4.582000017,CHEE,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,4.780999899,CHEES,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,4.914999962,CHEESE,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.641000032,CHEESE,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,5.641000032,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,5.31799984,H,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,5.44299984,HA,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,6.215999842,HAL,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,6.29399991,HALL,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.717000008,HALL,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,6.717000008,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,2.447000027,B,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.569999933,BE,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.733999968,BEE,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2.930999994,BEER,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.312999964,BEER,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,3.312999964,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_12h50.08.756,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5b6f4c673abd820001d6f637,,,,,,,
