consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,2.002000093,e,4.275999784,,,,,,,,,,1,4.977999926,1,4.523000002,3,9.036000013,2,5.386000156,1,5.046000004,3,5.850999832,21,f,2.062000036,3,5.143999815,LONDON,y,2.003000021,n,1.621000051,1,3.230999947,1,4.938999891,space,11.84200001,h,3.315999985,H,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h54.19.441,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c41d2152b3f33000107545e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.36500001,HA,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h54.19.441,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c41d2152b3f33000107545e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,3.498000145,HAT,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h54.19.441,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c41d2152b3f33000107545e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.919000149,HAT,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h54.19.441,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c41d2152b3f33000107545e,3.919000149,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h54.19.441,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c41d2152b3f33000107545e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,2.383000135,F,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-12_20h54.19.441,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c41d2152b3f33000107545e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,2.448000193,FI,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-12_20h54.19.441,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c41d2152b3f33000107545e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,2.698000193,FIH,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-12_20h54.19.441,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c41d2152b3f33000107545e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,3.166000128,FI,TRUE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-12_20h54.19.441,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c41d2152b3f33000107545e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,3.366000175,FIS,TRUE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-12_20h54.19.441,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c41d2152b3f33000107545e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,3.515000105,FISH,TRUE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-12_20h54.19.441,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5c41d2152b3f33000107545e,,,,,,,
