consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,1.896999836,e,3.833999872,,,,,,,,,,1,4.040999889,1,5.740999699,1,5.900999784,2,7.14199996,2,5.549999714,1,7.855999947,19,f,2.794999838,3,5.576999903,LONDON,y,5.423999786,n,3.223999977,1,2.265999794,1,3.903999805,space,26.82599998,t,2.036000013,T,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,2.484000206,TI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,2.854000092,TIG,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.08100009,TIGE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,3.313000202,TIGER,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.810000181,TIGER,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,3.810000181,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,3.233999968,Z,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.56400013,ZE,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,3.878999949,ZEB,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,4.062000036,ZEBR,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,4.361999989,ZEBRA,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.957000017,ZEBRA,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,4.957000017,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,2.983999968,J,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.165999889,JA,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,3.432999849,JAC,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,3.630999804,JACK,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-12_20h49.37.894,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5cad1eef8ed53d00180d2532,,,,,,,
