consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,3.214999914,e,3.032999992,GERMAN,2,12.2019999,2,12.31800008,,,,,,1,3.380000114,1,2.629999876,1,5.795000076,1,3.446999788,1,2.080999851,1,4.565000057,20,f,1.76699996,3,4.704999924,KENT,y,4.030999899,n,3.032999992,1,3.430999994,1,5.946000099,space,14.5999999,f,8.634000063,F,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h35.36.712,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d5eb07672a0690001cee147,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,9.134000063,FR,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h35.36.712,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d5eb07672a0690001cee147,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,9.751000166,FRI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h35.36.712,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d5eb07672a0690001cee147,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,10.03400016,FRIE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h35.36.712,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d5eb07672a0690001cee147,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,10.28400016,FRIEN,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h35.36.712,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d5eb07672a0690001cee147,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,10.45100021,FRIEND,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h35.36.712,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d5eb07672a0690001cee147,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,10.83400011,FRIEND,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h35.36.712,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d5eb07672a0690001cee147,10.83400011,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h35.36.712,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d5eb07672a0690001cee147,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,3.083999872,G,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_15h35.36.712,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d5eb07672a0690001cee147,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,3.519999981,GO,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_15h35.36.712,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d5eb07672a0690001cee147,,,,,,,
