consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,0.940000057,e,5.80099988,,,,,,,,,,1,9.76699996,1,4.927999973,1,4.880000114,2,4.546999931,2,10.69799995,1,3.565999985,19,f,1.536000013,3,4.81400013,CAMBRIDGE,y,4.099999905,n,2.516000032,1,2.430000067,1,2.184000015,space,30.40299988,c,3.601000071,C,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_12h47.53.140,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d6c21b0a9d20a0001de501b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,3.78399992,CO,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_12h47.53.140,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d6c21b0a9d20a0001de501b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,3.950000048,COR,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_12h47.53.140,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d6c21b0a9d20a0001de501b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,4.134000063,CORO,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_12h47.53.140,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d6c21b0a9d20a0001de501b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,4.934000015,CORON,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_12h47.53.140,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d6c21b0a9d20a0001de501b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,5.068000078,CORONA,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_12h47.53.140,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d6c21b0a9d20a0001de501b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.833999872,CORONA,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_12h47.53.140,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d6c21b0a9d20a0001de501b,5.833999872,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_12h47.53.140,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d6c21b0a9d20a0001de501b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.782999992,T,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-05_12h47.53.140,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d6c21b0a9d20a0001de501b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,2.01699996,TI,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-05_12h47.53.140,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d6c21b0a9d20a0001de501b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,2.200000048,TIG,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-05_12h47.53.140,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d6c21b0a9d20a0001de501b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2.417000055,TIGR,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-05_12h47.53.140,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5d6c21b0a9d20a0001de501b,,,,,,,
