consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,3.058000088,e,2.805999994,,,,,,,,,,1,11.91499996,1,7.799999952,1,6.250999928,2,5.304999828,1,3.164000034,1,7.023000002,25,m,2.047999859,3,6.129000187,RNORTHAMPTON,y,4.078999996,n,2.765000105,1,2.879999876,1,4.128999949,space,19.45599985,t,9.246000051,T,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_16h20.39.976,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e0ce0bbda6bad4819153380,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,9.397000074,TE,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_16h20.39.976,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e0ce0bbda6bad4819153380,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,9.463000059,TEN,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_16h20.39.976,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e0ce0bbda6bad4819153380,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,9.595999956,TENN,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_16h20.39.976,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e0ce0bbda6bad4819153380,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,9.711999893,TENNI,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_16h20.39.976,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e0ce0bbda6bad4819153380,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,9.861999989,TENNIS,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_16h20.39.976,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e0ce0bbda6bad4819153380,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,10.64599991,TENNIS,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_16h20.39.976,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e0ce0bbda6bad4819153380,10.64599991,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_16h20.39.976,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e0ce0bbda6bad4819153380,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,3.58100009,B,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_16h20.39.976,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e0ce0bbda6bad4819153380,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.680999994,BE,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_16h20.39.976,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e0ce0bbda6bad4819153380,,,,,,,
