consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,2.723999977,e,3.129999876,,,,,,,,,,1,4.331999779,1,1.38499999,1,2.907999992,1,1.483999968,1,0.462999821,1,0.975999832,19,m,3.84100008,3,19.523,LONDON,y,6.907999754,n,2.512999773,1,2.047999859,1,1.856999874,space,15.41599989,j,2.430000067,J,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h31.05.948,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e3878bdb7fe58049b837ea9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.54700017,JA,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h31.05.948,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e3878bdb7fe58049b837ea9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,2.614000082,JAC,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h31.05.948,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e3878bdb7fe58049b837ea9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,2.746000051,JACK,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h31.05.948,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e3878bdb7fe58049b837ea9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.919000149,JACKE,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h31.05.948,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e3878bdb7fe58049b837ea9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,3.02699995,JACKET,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h31.05.948,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e3878bdb7fe58049b837ea9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.366000175,JACKET,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h31.05.948,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e3878bdb7fe58049b837ea9,3.366000175,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h31.05.948,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e3878bdb7fe58049b837ea9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1.915999889,W,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-11_10h31.05.948,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e3878bdb7fe58049b837ea9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.005999804,WA,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-11_10h31.05.948,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e3878bdb7fe58049b837ea9,,,,,,,
