consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,1.431999922,e,4.700000048,,,,,,,,,,1,5.438000202,1,7.475000143,1,7.475999832,2,4.763999939,1,4.821000099,1,2.960999966,25,f,1.74000001,3,5.345000029,HULL,y,3.519999981,n,3.32400012,1,3.05700016,1,5.38499999,space,11.97300005,h,5.894999981,H,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_15h35.02.201,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e60db57fdef8001c1fdc6f7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,6.09499979,HE,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_15h35.02.201,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e60db57fdef8001c1fdc6f7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,6.896999836,H,TRUE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_15h35.02.201,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e60db57fdef8001c1fdc6f7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,7.130999804,,TRUE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_15h35.02.201,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e60db57fdef8001c1fdc6f7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,12.5079999,W,TRUE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_15h35.02.201,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e60db57fdef8001c1fdc6f7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,12.70799994,WA,TRUE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_15h35.02.201,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e60db57fdef8001c1fdc6f7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,12.79099989,WAT,TRUE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_15h35.02.201,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e60db57fdef8001c1fdc6f7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,12.95899987,WATE,TRUE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_15h35.02.201,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e60db57fdef8001c1fdc6f7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,13.10899997,WATER,TRUE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_15h35.02.201,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e60db57fdef8001c1fdc6f7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,13.7099998,WATER,TRUE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_15h35.02.201,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e60db57fdef8001c1fdc6f7,13.7099998,,,,,,
