consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,1.437000275,e,2.336000204, ,1,10.57500005,1,1.898000002,,,,,,1,2.703000069,1,1.879000187,1,2.820000172,1,1.934000254,1,1.039000273,1,0.876000166,18,m,1.389000177,3,3.104000092,HALSTEAD,y,2.258000135,n,1.87100029,1,2.909000158,2,2.766000032,space,12.24700022,h,3.269999981,H,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.636999846,HE,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,3.970999956,HEL,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,4.138000011,HELL,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,4.320999861,HELLO,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.504999876,HELLO,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,4.504999876,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,3.052999973,H,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,3.235999823,HO,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,3.369999886,HOW,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.436999798,HOW ,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.569999933,HOW A,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,3.636999846,HOW AR,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.686999798,HOW ARE,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.71999979,HOW ARE ,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,3.869999886,HOW ARE Y,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,3.936999798,HOW ARE YO,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,3.986999989,HOW ARE YOU,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.203999996,HOW ARE YOU,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,4.203999996,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,2.269000053,D,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,2.351999998,DO,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,2.536000013,DOI,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,2.552999973,DOIN,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,2.618999958,DOING,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.736000061,DOING ,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,2.802999973,DOING G,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2.852999926,DOING GR,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.036000013,DOING GRE,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.119999886,DOING GREA,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,3.220000029,DOING GREAT,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.319999933,DOING GREAT,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,3.319999933,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.835000038,A,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,3.486999989,AN,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,3.604000092,AND,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.687000036,AND ,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,3.804000139,AND Y,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,3.870000124,AND YO,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,3.921000004,AND YOU,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,4.488000154,AND YO,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,4.989000082,AND Y,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.022000074,AND ,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.055000067,AND,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.088000059,AN,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.122000217,A,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.15500021,,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.188000202,,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.222000122,,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.255000114,,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,7.007000208,N,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,7.05700016,NO,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,7.141000032,NOT,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.241000175,NOT ,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,7.34100008,NOT S,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,7.391000032,NOT SU,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,7.457000017,NOT SUR,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,7.558000088,NOT SURE,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-24_17h57.42.669,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e642125757e611ae1a52811,,,,,,,
