consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,2.203999996,e,3.235000134,,,,,,,,,,1,9.873999834,1,4.572000027,1,6.684000015,2,6.23300004,2,4.362999916,1,2.710000038,24,f,1.542000055,4,5.06799984,BARNSTAPLE,y,4.916000128,n,4.415999889,1,2.31400013,2,5.490999937,space,20.84300017,h,1.747999907,H,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h00.02.190,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e71e92d7c127310819224be,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1.950000048,HO,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h00.02.190,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e71e92d7c127310819224be,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,2.430999994,H,TRUE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h00.02.190,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e71e92d7c127310819224be,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,2.580999851,,TRUE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h00.02.190,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e71e92d7c127310819224be,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,3.013999939,H,TRUE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h00.02.190,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e71e92d7c127310819224be,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,3.230000019,HL,TRUE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h00.02.190,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e71e92d7c127310819224be,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,3.714999914,H,TRUE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h00.02.190,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e71e92d7c127310819224be,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.864000082,HE,TRUE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h00.02.190,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e71e92d7c127310819224be,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,3.963000059,HEL,TRUE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h00.02.190,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e71e92d7c127310819224be,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,4.112999916,HELL,TRUE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h00.02.190,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e71e92d7c127310819224be,,,,,,,
