consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,4.76699996,e,5.951000214,,,,,,,,,,1,9.576000214,1,6.063000202,1,9.994000196,1,18.13100028,1,5.202000141,1,5.634000063,21,f,2.474000216,4,5.49600029,STRATFORD,y,5.436000109,n,2.359000206,1,3.358000278,2,6.884000063,space,23.4610002,space,6.332000017, ,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,8.187000036, ,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,8.187000036,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,2.289999962,H,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,3.77699995,,TRUE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,12.51799989,H,TRUE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,18.46600008,,TRUE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,18.95000005,S,TRUE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,19.58699989,,TRUE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,20.06999993,C,TRUE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,20.30500007,CU,TRUE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,20.99000001,CUT,TRUE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,21.4230001,CUTE,TRUE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,21.79200006,CUTE,TRUE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,21.79200006,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,5.177999973,D,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,7.651000023,DE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,7.819000006,DEL,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,8.102999926,DELI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.506999969,DELI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-04_18h02.40.686,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5e73ed268c8f27364de746c5,9.506999969,,,,,,
