consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,9.385999918,e,9.380999804,,,,,,,,,,2,8.663000107,1,7.516000032,1,7.20299983,2,5.845000029,2,9.26699996,1,8.943999767,21,f,1.640999794,4,5.801999807,AYLESBURY,y,4.252000093,n,3.332999945,1,2.875,1,6.292999983,space,19.90499997,d,18.30200005,D,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.42.777,TranslationElicitation_eng-prolific,3.2.4,Linux x86_64,60,5e811195ec31d30008690bcd,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,19.06900001,DI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.42.777,TranslationElicitation_eng-prolific,3.2.4,Linux x86_64,60,5e811195ec31d30008690bcd,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,19.33599997,DIG,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.42.777,TranslationElicitation_eng-prolific,3.2.4,Linux x86_64,60,5e811195ec31d30008690bcd,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,19.48600006,DIGG,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.42.777,TranslationElicitation_eng-prolific,3.2.4,Linux x86_64,60,5e811195ec31d30008690bcd,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,19.55200005,DIGGE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.42.777,TranslationElicitation_eng-prolific,3.2.4,Linux x86_64,60,5e811195ec31d30008690bcd,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,19.73600006,DIGGER,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.42.777,TranslationElicitation_eng-prolific,3.2.4,Linux x86_64,60,5e811195ec31d30008690bcd,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,21.11899996,DIGGER,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.42.777,TranslationElicitation_eng-prolific,3.2.4,Linux x86_64,60,5e811195ec31d30008690bcd,21.11899996,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.42.777,TranslationElicitation_eng-prolific,3.2.4,Linux x86_64,60,5e811195ec31d30008690bcd,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,8.500999928,A,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_15h36.42.777,TranslationElicitation_eng-prolific,3.2.4,Linux x86_64,60,5e811195ec31d30008690bcd,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.684000015,A ,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_15h36.42.777,TranslationElicitation_eng-prolific,3.2.4,Linux x86_64,60,5e811195ec31d30008690bcd,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,9.132999897,A W,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_15h36.42.777,TranslationElicitation_eng-prolific,3.2.4,Linux x86_64,60,5e811195ec31d30008690bcd,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,9.284999847,A WO,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_15h36.42.777,TranslationElicitation_eng-prolific,3.2.4,Linux x86_64,60,5e811195ec31d30008690bcd,,,,,,,
