consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,0.746999979,e,2.864000082,,,,,,,,,,1,4.548000097,1,3.662000179,1,3.967999935,1,8.744999886,1,1.424000025,1,3.34100008,21,f,1.57400012,4,4.571000099,MANCHESTER,y,4.450999975,n,2.906000137,1,2.075000286,2,6.846000195,space,22.19900012,p,4.779999971,P,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h53.08.817,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e84efb71d17ad0c8430495a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,4.813999891,PA,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h53.08.817,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e84efb71d17ad0c8430495a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,5.313999891,PAT,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h53.08.817,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e84efb71d17ad0c8430495a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,5.446999788,PATR,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h53.08.817,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e84efb71d17ad0c8430495a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,5.529999971,PATRY,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h53.08.817,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e84efb71d17ad0c8430495a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,6.496999979,PATR,TRUE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h53.08.817,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e84efb71d17ad0c8430495a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,6.662999868,PAT,TRUE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h53.08.817,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e84efb71d17ad0c8430495a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,6.812999964,PA,TRUE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h53.08.817,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e84efb71d17ad0c8430495a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,7.845999956,PAR,TRUE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h53.08.817,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e84efb71d17ad0c8430495a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,8.046999931,PART,TRUE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_17h53.08.817,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e84efb71d17ad0c8430495a,,,,,,,
