consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,4.84100008,e,8.383999825,,,,,,,,,,1,7.019999981,1,3.379999876,1,9.108999968,2,3.167999983,1,2.569000006,1,3.222000122,21,m,2.16899991,3,6.967999935,LICHFIELD,y,2.43599987,n,3.950999975,1,2.667999983,1,7.171999931,space,14.91099977,h,1.932999849,H,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.23300004,HE,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.366999865,HEL,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.5,HELL,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,2.599999905,HELLO,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.965999842,HELLO,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,2.965999842,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,3.198999882,H,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.282999992,HA,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,3.598999977,HAR,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,3.815999985,HARI,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,4.065999985,HARIB,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,4.132999897,HARIBO,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.500999928,HARIBO,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,4.500999928,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,4.050000191,T,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,4.183000088,TI,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,4.417000055,TIG,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,4.48300004,TIGR,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,4.550000191,TIGRE,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_18h03.34.618,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5e8f39008ed06f208d57df3b,,,,,,,
