consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,trialOffset,keyPressTime,keyPressed,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,0.427999735,e,3.79399991,,,,,,,,,,1,5.013999939,1,4.973999739,1,4.427999973,1,3.285000086,1,2.706999779,1,5.395999908,23,f,1.428999901,4,3.105999947,NOTTINGHAM,y,2.599999905,n,2.529999971,1,2.028000116,1,1.848999977,space,4.39199996,7.75,7.75,return,,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.867000103,3.867000103,return,,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.583999872,2.583999872,return,,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.549000025,7.549000025,return,,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.416000128,1.416000128,return,,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-05_13h20.13.749,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5e9df7faf4a4e4191f1f14b0,,,,,,
