consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,4.976000071,e,3.775000095,,,,,,,,,,1,12.19899988,1,5.417000055,1,7.101000071,2,5.180999994,2,9.329999924,1,4.809999943,25,f,1.532999992,4,4.035999775,RIPON,y,4.046999931,n,2.329999924,1,2.025000095,1,5.204999924,space,24.24300003,t,17.32300019,T,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,17.9000001,TH,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,18.36300015,THE,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,18.49500012,THER,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,18.7110002,THERE,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,19.99500012,THERE,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,19.99500012,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,5.096000195,H,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,5.562000036,HE,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,6.096000195,HEA,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,6.446000099,HEAR,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,6.679000139,HEART,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,8.062000036,HEART,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,8.062000036,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,4.848999977,W,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,5.098999977,WA,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,5.59800005,WAT,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,5.732000113,WATE,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,5.982000113,WATER,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.548000097,WATER,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,6.548000097,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,15.03699994,T,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,15.29500008,TI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,15.34699988,TIG,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,15.56900001,TIGE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,15.78600001,TIGER,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,16.48199987,TIGER,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,16.48199987,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,3.198999882,B,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.379999876,BA,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,3.504999876,BAN,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.705999851,BANA,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,3.921999931,BANAN,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,4.132999897,BANANA,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_15h37.37.265,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea186c334f3aa036bdd1c8b,,,,,,,
