consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,5.463000059,e,4.833999872,,,,,,,,,,1,6.036999941,1,7.05700016,1,7.333999872,1,14.31699991,1,2.269999981,1,2.788000107,25,f,1.751000166,4,3.111000061,BRIGHTON,y,3.617999792,n,2.891000032,1,2.967000008,1,5.166000128,space,19.60400009,g,6.14199996,G,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h14.21.182,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea1ac832ac60d0762c238a7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,6.375999928,GR,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h14.21.182,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea1ac832ac60d0762c238a7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,6.476000071,GRE,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h14.21.182,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea1ac832ac60d0762c238a7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,6.67599988,GREA,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h14.21.182,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea1ac832ac60d0762c238a7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,7.092000008,GREAT,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h14.21.182,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea1ac832ac60d0762c238a7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,7.874000072,GREAT,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h14.21.182,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea1ac832ac60d0762c238a7,7.874000072,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-08_18h14.21.182,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea1ac832ac60d0762c238a7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,4.844000101,T,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_18h14.21.182,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea1ac832ac60d0762c238a7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,5.078000069,TI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_18h14.21.182,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea1ac832ac60d0762c238a7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,5.210999966,TIG,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_18h14.21.182,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea1ac832ac60d0762c238a7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,5.377000093,TIGR,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_18h14.21.182,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea1ac832ac60d0762c238a7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,5.476999998,TIGRE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_18h14.21.182,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ea1ac832ac60d0762c238a7,,,,,,,
