consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,0.36199975,e,2.047999859,,,,,,,,,,1,2.899999857,1,0.870000124,1,1.788999796,2,2.723999977,2,1.307999849,1,1.65899992,18,f,2.687999964,3,1.680999994,BEXLEY,y,2.936999798,n,1.264999866,1,7.323999882,2,1.851999998,space,1.700999737,o,2.917000055,O,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_21h35.46.305,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea21ef214912a12fa60eb5e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,3.200999975,ON,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_21h35.46.305,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea21ef214912a12fa60eb5e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.384000063,ONE,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_21h35.46.305,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea21ef214912a12fa60eb5e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.818000078,ONE,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_21h35.46.305,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea21ef214912a12fa60eb5e,3.818000078,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-04_21h35.46.305,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea21ef214912a12fa60eb5e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,2,T,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-04_21h35.46.305,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea21ef214912a12fa60eb5e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.166999817,TE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-04_21h35.46.305,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea21ef214912a12fa60eb5e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.5,TEA,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-04_21h35.46.305,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea21ef214912a12fa60eb5e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.632999897,TEA,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-04_21h35.46.305,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea21ef214912a12fa60eb5e,2.632999897,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-04_21h35.46.305,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea21ef214912a12fa60eb5e,,,,,,,
