consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,2.542000055,e,2.414999723,,,,,,,,,,1,8.198999882,1,2.743999958,1,4.93599987,2,4.917000055,1,4.857000113,1,4.610999823,22,f,1.463999987,4,9.148000002,LONDON,y,3.52699995,n,3.532000065,1,2.667000055,1,6.335999966,space,42.62999988,h,4.700000048,H,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h32.39.926,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea300a5733c8107ec2478a3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,4.817000151,HE,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h32.39.926,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea300a5733c8107ec2478a3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,5.23300004,HEL,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h32.39.926,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea300a5733c8107ec2478a3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,5.417000055,HELL,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h32.39.926,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea300a5733c8107ec2478a3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,5.767000198,HELLO,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h32.39.926,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea300a5733c8107ec2478a3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.032000065,HELLO ,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h32.39.926,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea300a5733c8107ec2478a3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,6.149000168,HELLO T,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h32.39.926,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea300a5733c8107ec2478a3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,6.25,HELLO TH,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h32.39.926,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea300a5733c8107ec2478a3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,6.401000023,HELLO THE,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h32.39.926,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea300a5733c8107ec2478a3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,6.48300004,HELLO THER,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h32.39.926,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ea300a5733c8107ec2478a3,,,,,,,
