consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,4.361999989,e,3.015000105,,,,,,,,,,1,4.912999868,1,2.661000013,1,6.133000135,1,6.399999857,1,3.535000086,1,3.931999922,20,f,2.069000006,3,3.986000061,NEWCASTLEMINUSUPONMINUSTYNE,y,4.864000082,n,45.72000003,1,3.032000065,1,4.398999929,space,21.03500009,c,2.83100009,C,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h15.34.774,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaeeb1a716ed0081dfa8718,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,2.930999994,CH,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h15.34.774,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaeeb1a716ed0081dfa8718,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,3.014999866,CHI,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h15.34.774,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaeeb1a716ed0081dfa8718,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,3.366999865,CHIL,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h15.34.774,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaeeb1a716ed0081dfa8718,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,4.717999935,CHI,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h15.34.774,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaeeb1a716ed0081dfa8718,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,4.86500001,CH,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h15.34.774,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaeeb1a716ed0081dfa8718,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.014999866,C,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h15.34.774,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaeeb1a716ed0081dfa8718,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.148000002,,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h15.34.774,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaeeb1a716ed0081dfa8718,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,5.565000057,D,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h15.34.774,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaeeb1a716ed0081dfa8718,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,5.73300004,DA,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h15.34.774,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaeeb1a716ed0081dfa8718,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,5.86500001,DAU,TRUE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h15.34.774,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaeeb1a716ed0081dfa8718,,,,,,,
