consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,0.661000013,e,1.329999924,,,,,,,,,,1,1.852999926,1,1.145999908,1,0.679999828,1,0.630999804,1,0.524000168,1,1.06099987,19,m,1.180000067,3,2.226999998,CHELMSFORD,y,2.469000101,n,2.128000021,1,1.349999905,1,0.398999929,space,1.122999907,j,1.199999809,J,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h29.14.495,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaff502f66eb1023c793616,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.349999905,JA,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h29.14.495,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaff502f66eb1023c793616,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,1.600999832,JAC,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h29.14.495,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaff502f66eb1023c793616,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1.733999968,JACK,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h29.14.495,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaff502f66eb1023c793616,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.26699996,JACKE,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h29.14.495,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaff502f66eb1023c793616,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,2.483999968,JACKET,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h29.14.495,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaff502f66eb1023c793616,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.632999897,JACKET,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h29.14.495,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaff502f66eb1023c793616,2.632999897,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-08_18h29.14.495,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaff502f66eb1023c793616,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1.881999969,N,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_18h29.14.495,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaff502f66eb1023c793616,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,2.082000017,NU,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_18h29.14.495,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaff502f66eb1023c793616,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,2.282000065,NUM,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_18h29.14.495,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaff502f66eb1023c793616,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,2.51699996,NUMB,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_18h29.14.495,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaff502f66eb1023c793616,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.649000168,NUMBE,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_18h29.14.495,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaff502f66eb1023c793616,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2.832000017,NUMBER,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_18h29.14.495,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eaff502f66eb1023c793616,,,,,,,
