consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,1.986000061,e,5.184000015,,,,,,,,,,1,8.003999949,1,11.32500005,2,8.871000051,2,4.22300005,1,2.545000076,2,3.407999992,21,f,3.179000139,3,10.53600001,BELFAST,y,4.769999981,y,8.617999792,5,5.15199995,1,11.12899995,space,3.269000053,h,4.665999889,H,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,5.549999952,HO,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,5.764999866,HOL,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,5.898999929,HOLA,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.017999887,HOLA ,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,7.997999907,HOLA ,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,7.997999907,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,1.617000103,C,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1.883000135,CO,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2.098999977,COR,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,2.366000175,CORN,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,3.148000002,COR,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,3.935000181,CORO,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,4.159000158,CORON,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,4.309000015,CORONA,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.805999994,CORONA,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,4.805999994,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.33100009,A,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,3.5,AL,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,4.037000179,ALB,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,4.73300004,ALBO,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.412000179,ALBO,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,5.412000179,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,1.450000048,C,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,1.600000143,CH,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.167000055,CHA,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,2.9150002,CHAQ,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,3.083000183,CHAQU,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,3.282999992,CHAQUI,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,3.565999985,CHAQUIT,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.674000025,CHAQUITA,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.100000143,CHAQUITA,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-04_17h19.14.050,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb2d2df52bcce074be5583a,4.100000143,,,,,,
