consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,2.18900013,e,1.527999878,,,,,,,,,,1,2.101999998,1,0.852999926,1,0.724999905,1,0.766999722,1,0.767999887,1,0.766999722,22,f,1.059999943,4,1.693000078,COLCHESTER,y,1.503000021,n,1.178999901,1,1.336999893,1,0.944000006,space,13.33999991,j,1.116000175,J,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.232000113,JA,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,1.467000008,JAC,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1.549000025,JACK,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,1.667000055,JACKE,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.866000175,JACKET,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.234000206,JACKET,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,2.234000206,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.367000103,T,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,1.534000158,TI,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,1.71600008,TIG,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,1.76699996,TIGE,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,1.866000175,TIGER,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,1.983999968,TIGER,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,1.983999968,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,1.46600008,R,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1.616000175,RO,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,2.084000111,R,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,2.217000008,,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,2.316000223,,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,2.383000135,C,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,2.617000103,CO,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h35.25.234,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5eb450d3f625d5290ee37303,,,,,,,
