consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,0.99000001,e,2.403000116,,,,,,,,,,1,4.38499999,1,7.781999826,1,6.521000147,1,2.198999882,1,1.819999933,1,0.996000051,20,m,1.389999866,3,6.438999891,LONDON,y,3.516000032,n,2.411999941,1,2.661000013,2,3.304999828,space,2.085000038,c,3.695999861,C,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,4.111999989,CH,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,4.529000044,CHA,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.194999933,CHA ,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,5.976999998,CHA Q,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,6.109999895,CHA QU,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,6.262000084,CHA QUE,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.476999998,CHA QUE ,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,6.592999935,CHA QUE T,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,6.825999975,CHA QUE TA,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,7.191999912,CHA QUE TA,FALSE,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,7.191999912,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,26,chaqueta,Spanish,Sounds/spa_chaqueta.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,2.065000057,H,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.398000002,HE,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.496999979,HEL,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.597000122,HELL,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,2.763999939,HELLO,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.180000067,HELLO,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,3.180000067,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,2.996999979,C,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,3.046000004,CL,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,3.230000019,CLI,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,3.412999868,CLIN,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,3.478999853,CLING,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,4.062000036,CLINGE,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,4.312000036,CLINGEL,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,4.511999846,CLINGELE,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.893999815,CLINGELE,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,4.893999815,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,1.680999994,H,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1.898000002,HO,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.04700017,HOL,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.147000074,HOLA,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.29700017,HOLA,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,2.29700017,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-11_10h20.39.483,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eb9e9546dffac12320418e9,,,,,,,
