consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,0.635999918,e,1.570999861,,,,,,,,,,1,1.244999886,1,0.548999786,1,0.53399992,1,0.716999769,1,0.585999966,1,0.447999954,25,m,1.320999861,4,1.493000031,BRISTOL,y,2.000999928,n,1.3349998,1,1.503999949,2,1.147000074,space,24.15999985,c,1.717000008,C,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1.865999937,CO,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2.151000023,COR,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,2.315999985,CORO,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,2.5,CORON,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.633000135,CORONA,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.582999945,CORONA,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,3.582999945,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.998999834,T,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,2.182999849,TI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,2.415999889,TIG,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.565999985,TIGE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2.649999857,TIGER,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.214999914,TIGER,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,3.214999914,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,6.068000078,N,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,6.23300004,NE,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,6.448999882,NEP,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-12_20h53.01.662,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ebd2a07fa52241862dbca05,,,,,,,
