consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,4.47699976,e,3.154999733, ,2,10.87999988,2,14.02299976,,,,,,1,6.483999968,1,2.466999769,2,10.95899987,1,2.905999899,1,1.107999802,2,6.747999668,24,m,1.316999912,4,3.494999886,LSHIFTBEDFORDSHIRE,y,3.674999714,n,4.543999672,1,3.119999886,1,4.162999868,space,9.05099988,c,4.124000072,C,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,4.243000031,CO,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,4.305999994,COR,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,4.47300005,CORI,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,4.789000034,CORIN,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,4.888000011,CORINA,FALSE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.121999979,CORIN,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.272000074,CORI,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.421000004,COR,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,6.019000053,CORO,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,6.302000046,CORON,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,6.351000071,CORONA,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,7.565999985,CORONA,TRUE,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,7.565999985,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,1,1,4,30,corona,Spanish,Sounds/spa_corona.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,2.677999973,D,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,2.778000116,DI,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,3.060000181,DIG,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,3.177000046,DIGG,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.276000023,DIGGE,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,3.409000158,DIGGER,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.85800004,DIGGER,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,3.85800004,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,1.746000051,H,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,1.830000162,HE,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,1.979000092,HEL,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.111000061,HELL,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,2.294000149,HELLO,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.578000069,HELLO,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,2.578000069,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,2.210999966,H,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.328000069,HA,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,2.394999981,HAN,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,2.50999999,HAND,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,2.660000086,HANDB,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.77699995,HANDBA,FALSE,1,0,5,0,1,4,1,arbol,Spanish,Sounds/spa_arbol.mp3,2020-06-08_18h11.04.154,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ec27b1c7207c90574afa448,,,,,,,
