consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,0.190999985,e,1.097000122, ,1,1.099999905,2,0.165999889,,,,,,1,0.877000093,2,0.177999973,1,0.15199995,1,0.217000008,2,0.107000113,1,0.10800004,18,m,1.287999868,2,1.271000147,LONDON,y,1.582999945,n,2.055999994,1,1.513000011,1,0.763000011,space,0.990999937,h,1.498000145,H,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h53.05.746,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ec54a7637927134ac7d3dc3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.820000172,HA,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h53.05.746,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ec54a7637927134ac7d3dc3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,2.251000166,HAB,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h53.05.746,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ec54a7637927134ac7d3dc3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2.59100008,HABR,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h53.05.746,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ec54a7637927134ac7d3dc3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.764000177,HABRE,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h53.05.746,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ec54a7637927134ac7d3dc3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.861999989,HABRE,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h53.05.746,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ec54a7637927134ac7d3dc3,2.861999989,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-12_20h53.05.746,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ec54a7637927134ac7d3dc3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,2.812999964,S,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-12_20h53.05.746,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ec54a7637927134ac7d3dc3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.062999964,SE,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-12_20h53.05.746,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ec54a7637927134ac7d3dc3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,3.312999964,SEC,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-12_20h53.05.746,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5ec54a7637927134ac7d3dc3,,,,,,,
