consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,6.142000198,e,3.07400012,,,,,,,,,,1,26.5170002,1,4.486000061,1,8.150000095,1,3.539000273,1,5.78000021,2,12.64900017,23,m,2.972000122,4,4.546000242,BOLTON,y,5.078999996,n,5.668000221,1,2.75,1,4.514000177,space,21.40400004,o,10.54900002,O,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,10.71600008,OK,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,11.33400011,OK,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,11.33400011,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,2.898999929,T,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.25,TE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,4.181999922,T,TRUE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,4.914999962,,TRUE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,5.681999922,O,TRUE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,5.898000002,OK,TRUE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,6.214999914,OKA,TRUE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,6.398999929,OKAY,TRUE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.832000017,OKAY,TRUE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,6.832000017,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,4.715999842,G,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,4.932999849,GR,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,5.032999992,GRE,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,5.248999834,GREE,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,5.398999929,GREEN,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.765999794,GREEN,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,5.765999794,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-05_15h36.04.575,TranslationElicitation_eng-prolific,3.2.4,Win32,60,5eca8f766efc6002c151bb05,,,,,,,
