consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,0.70299983,e,1.953999758,,,,,,,,,,1,3.221999884,1,2.095999956,1,1.954999924,2,2.859999895,1,3.725999832,1,2.280999899,22,f,1.353999853,4,2.261999846,ESSEX,y,2.503000021,n,2.141999722,1,1.729999781,1,3.184999943,space,12.9849999,c,1.398999929,C,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-08_18h21.10.067,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ece703852564823b1b07a59,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1.565999985,CO,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-08_18h21.10.067,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ece703852564823b1b07a59,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,1.700000048,COR,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-08_18h21.10.067,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ece703852564823b1b07a59,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,1.799000025,CORO,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-08_18h21.10.067,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ece703852564823b1b07a59,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1.981999874,CORON,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-08_18h21.10.067,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ece703852564823b1b07a59,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.115999937,CORONA,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-08_18h21.10.067,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ece703852564823b1b07a59,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.467000008,CORONA,FALSE,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-08_18h21.10.067,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ece703852564823b1b07a59,2.467000008,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,1,1,4,126,corona,Catalan,Sounds/cat_corona.mp3,2020-06-08_18h21.10.067,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ece703852564823b1b07a59,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,2.432999849,B,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_18h21.10.067,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ece703852564823b1b07a59,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.549999952,BA,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_18h21.10.067,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ece703852564823b1b07a59,,,,,,,
