consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
space,3.071000099,e,3.023999929, ,1,8.513999939,1,4.308999777,,,,,,1,2.70299983,1,2.309000015,1,7.265000105,1,4.413000107,1,2.282999754,1,3.361000061,21,f,2.181999922,4,2.417000055,NRSPACELONDON,y,2.748999834,n,2.126999855,1,2.924999952,1,2.361000061,space,8.852999926,k,4.633000135,K,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,4.730999947,KA,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,4.980999947,KAC,FALSE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.482000113,KA,TRUE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.614000082,K,TRUE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.748000145,,TRUE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,5.86500001,,TRUE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,6.09800005,J,TRUE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,6.197999954,JA,TRUE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,6.398000002,JAC,TRUE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,6.531000137,JACK,TRUE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,6.63499999,JACKE,TRUE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,6.881000042,JACKET,TRUE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,7.565000057,JACKET,TRUE,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,7.565000057,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.999000072, ,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,16.06900001, S,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,16.148, SH,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,16.23200011, SHI,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,16.36600018, SHIR,FALSE,1,0,5,3,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-05_12h41.09.595,TranslationElicitation_eng-prolific,3.2.4,MacIntel,60,5ed0d7a61cb3e101dc72f93e,,,,,,,
