consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
space,1.74600029,e,5.892000198,FRANCÉS,4,7.906000137,4,8.977000237,3,6.569000244,3,2.235000134,2,7.654000044,1,3.606000185,1,6.309000015,21,m,2.646000147,4,6.834000349,MURCIA,n,3.250000238,n,1.808000088,1,6.36400032,1,12.74700022,space,24.22300029,t,4.013000011,T,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_22h32.00.458,TranslationElicitation_spa,3.2.4,Win32,60,5ede1449d426ce02a290fe0a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,4.128999949,TI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_22h32.00.458,TranslationElicitation_spa,3.2.4,Win32,60,5ede1449d426ce02a290fe0a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,4.280999899,TIG,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_22h32.00.458,TranslationElicitation_spa,3.2.4,Win32,60,5ede1449d426ce02a290fe0a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,4.842999935,TIGR,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_22h32.00.458,TranslationElicitation_spa,3.2.4,Win32,60,5ede1449d426ce02a290fe0a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,5.092999935,TIGRE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_22h32.00.458,TranslationElicitation_spa,3.2.4,Win32,60,5ede1449d426ce02a290fe0a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,13.84299994,TIGRE ,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_22h32.00.458,TranslationElicitation_spa,3.2.4,Win32,60,5ede1449d426ce02a290fe0a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,16.35699987,,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_22h32.00.458,TranslationElicitation_spa,3.2.4,Win32,60,5ede1449d426ce02a290fe0a,16.35699987,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_22h32.00.458,TranslationElicitation_spa,3.2.4,Win32,60,5ede1449d426ce02a290fe0a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,10.20900011,H,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_22h32.00.458,TranslationElicitation_spa,3.2.4,Win32,60,5ede1449d426ce02a290fe0a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,10.3269999,HA,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_22h32.00.458,TranslationElicitation_spa,3.2.4,Win32,60,5ede1449d426ce02a290fe0a,,,,,,,
