consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
space,3.282999992,e,6.443000078,ITALIANO,3,7.970999956,3,6.933999777,3,12.24700022,3,3.315999985,1,5.343999863,1,4.31099987,1,5.470999956,20,m,1.653000116,4,4.210000038,MURCIA,s,3.866999865,n,3.061000109,1,2.720999956,1,5.796999931,space,12.25699997,space,7.523999929, ,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_15h01.17.047,TranslationElicitation_spa,3.2.4,Win32,60,5ede1560a80d4f02f3e6e997,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,8.572999954, T,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_15h01.17.047,TranslationElicitation_spa,3.2.4,Win32,60,5ede1560a80d4f02f3e6e997,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,10.12400007, TI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_15h01.17.047,TranslationElicitation_spa,3.2.4,Win32,60,5ede1560a80d4f02f3e6e997,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,12.33899999,,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_15h01.17.047,TranslationElicitation_spa,3.2.4,Win32,60,5ede1560a80d4f02f3e6e997,12.33899999,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-08_15h01.17.047,TranslationElicitation_spa,3.2.4,Win32,60,5ede1560a80d4f02f3e6e997,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,1.960999966,U,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_15h01.17.047,TranslationElicitation_spa,3.2.4,Win32,60,5ede1560a80d4f02f3e6e997,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,2.144000053,UN,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_15h01.17.047,TranslationElicitation_spa,3.2.4,Win32,60,5ede1560a80d4f02f3e6e997,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.860999823,UN ,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_15h01.17.047,TranslationElicitation_spa,3.2.4,Win32,60,5ede1560a80d4f02f3e6e997,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,3.326999903,UN H,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_15h01.17.047,TranslationElicitation_spa,3.2.4,Win32,60,5ede1560a80d4f02f3e6e997,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.460999966,UN HA,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_15h01.17.047,TranslationElicitation_spa,3.2.4,Win32,60,5ede1560a80d4f02f3e6e997,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,3.694000006,UN HAD,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_15h01.17.047,TranslationElicitation_spa,3.2.4,Win32,60,5ede1560a80d4f02f3e6e997,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.927000046,UN HADA,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_15h01.17.047,TranslationElicitation_spa,3.2.4,Win32,60,5ede1560a80d4f02f3e6e997,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.243999958,,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-08_15h01.17.047,TranslationElicitation_spa,3.2.4,Win32,60,5ede1560a80d4f02f3e6e997,5.243999958,,,,,,
