consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
space,1.805999756,e,2.573999882,FRANCES,4,3.721999884,3,2.343999863,3,3.164000034,2,3.774999857,2,3.471999884,1,0.843999863,2,3.739999771,19,h,2.230999947,3,3.733999968,MURCIA,s,2.734999895,n,1.200999737,1,1.94299984,1,2.711999893,space,1.506999969,t,1.480999947,T,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,2.315999985,TI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,2.580999851,TIG,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2.914999962,TIGR,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.09800005,TIGRE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.582999945,,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,3.582999945,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.464999914,A,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,1.849999905,AR,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,2.21600008,ARB,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,2.598999977,ARBO,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.914999962,ARBOL,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.431999922,,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,3.431999922,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,4.848999977,C,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,4.931999922,CH,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,5.115999937,CHA,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,5.530999899,CHAQ,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,5.664999962,CHAQU,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,5.80099988,CHAQUE,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,5.980999947,CHAQUET,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,6.11500001,CHAQUETA,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.697999954,,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,6.697999954,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,3.731999874,P,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,3.981999874,PI,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-11_13h04.20.580,TranslationElicitation_spa,3.2.4,MacIntel,60,5ede18e41b8bce022ee5dd40,,,,,,,
