consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
space,14.35599995,e,8.447000027,,3,21.454,3,17.04200006,,,,,2,18.40799999,1,4.240999937,1,6.114000082,20,h,1.856999874,3,6.684999943,MURCIA,n,5.773999929,n,3.215999842,1,6.140999794,1,3.378000021,space,20.8099997,u,2.338000059,U,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,2.386999846,UN,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.619999886,UN ,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,2.836999893,UN H,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.152999878,UN HA,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,3.271999836,UN HAD,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.385999918,UN HADA,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.569000006,,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,3.569000006,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1.313000202,J,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.379000187,JA,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,1.863000154,,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,2.078999996,,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,2.979000092,C,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,3.111999989,CH,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,3.228000164,CHA,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,3.444000006,CHAQ,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,3.578000069,CHAQU,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,3.695000172,CHAQUE,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,3.938000202,CHAQUET,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,4.045000076,CHAQUETA,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.226999998,,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-09_14h08.42.784,TranslationElicitation_spa,3.2.4,Win32,60,5ede22ac2ec6380417664519,4.226999998,,,,,,
