consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
space,2.605000019,e,8.42200017,,3,13.20400023,3,8.503000259,,,,,2,10.31700015,1,4.78000021,1,7.776000023,25,m,2.455000162,3,4.743000031,MURCIA,n,7.128000021,n,4.209000111,1,3.140000105,2,6.808000088,space,9.802000046,t,3.266000032,T,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-13_19h14.39.169,TranslationElicitation_spa,3.2.4,Win32,60,5ee3de894809040c1c9a619a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,4.082999945,TI,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-13_19h14.39.169,TranslationElicitation_spa,3.2.4,Win32,60,5ee3de894809040c1c9a619a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,4.266000032,TIG,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-13_19h14.39.169,TranslationElicitation_spa,3.2.4,Win32,60,5ee3de894809040c1c9a619a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,4.46600008,TIGR,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-13_19h14.39.169,TranslationElicitation_spa,3.2.4,Win32,60,5ee3de894809040c1c9a619a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,4.568000078,TIGRE,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-13_19h14.39.169,TranslationElicitation_spa,3.2.4,Win32,60,5ee3de894809040c1c9a619a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.832999945,,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-13_19h14.39.169,TranslationElicitation_spa,3.2.4,Win32,60,5ee3de894809040c1c9a619a,5.832999945,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-13_19h14.39.169,TranslationElicitation_spa,3.2.4,Win32,60,5ee3de894809040c1c9a619a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,4.598999977,A,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-13_19h14.39.169,TranslationElicitation_spa,3.2.4,Win32,60,5ee3de894809040c1c9a619a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,4.933000088,AR,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-13_19h14.39.169,TranslationElicitation_spa,3.2.4,Win32,60,5ee3de894809040c1c9a619a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,5.315000057,ARB,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-13_19h14.39.169,TranslationElicitation_spa,3.2.4,Win32,60,5ee3de894809040c1c9a619a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,5.700000048,ARBO,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-13_19h14.39.169,TranslationElicitation_spa,3.2.4,Win32,60,5ee3de894809040c1c9a619a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,5.952000141,ARBOL,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-13_19h14.39.169,TranslationElicitation_spa,3.2.4,Win32,60,5ee3de894809040c1c9a619a,,,,,,,
