consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
space,3.179000139,e,7.965000153,,2,10.76100016,4,6.239000082,,,,,1,6.732000113,1,2.250000238,1,7.472000122,18,m,3.533000231,3,6.575000286,MURCIA,n,14.41800022,n,1.998000145,1,3.910000324,1,4.986000299,space,26.1500001,space,3.832999945, ,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-16_10h08.59.496,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df1db2f7190ba57f464a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,5.601999998, C,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-16_10h08.59.496,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df1db2f7190ba57f464a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,5.684999943, CH,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-16_10h08.59.496,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df1db2f7190ba57f464a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,5.852999926, CHA,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-16_10h08.59.496,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df1db2f7190ba57f464a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,6.785000086, CHAU,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-16_10h08.59.496,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df1db2f7190ba57f464a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backspace,8.039000034, CH,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-16_10h08.59.496,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df1db2f7190ba57f464a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,8.236999989, CHQ,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-16_10h08.59.496,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df1db2f7190ba57f464a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,8.45600009, CHQU,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-16_10h08.59.496,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df1db2f7190ba57f464a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,8.605999947, CHQUE,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-16_10h08.59.496,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df1db2f7190ba57f464a,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,8.773000002, CHQUET,TRUE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-16_10h08.59.496,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df1db2f7190ba57f464a,,,,,,,
