consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
space,3.527999878,e,4.782999754,FRANCÉS,3,11.48399997,4,6.523999929,4,5.55099988,4,2.40899992,3,6.915999889,1,4.174999952,1,11.92499995,19,m,1.99000001,3,8.592000008,LORCA,n,4.204999924,n,2.174000025,1,6.049999952,1,8.904999733,space,15.61199975,l,3.197999954,L,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-13_16h18.19.035,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df5052f1050b1ae6fe50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,3.53399992,LO,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-13_16h18.19.035,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df5052f1050b1ae6fe50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,3.697000027,LOC,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-13_16h18.19.035,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df5052f1050b1ae6fe50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,3.924000025,LOCO,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-13_16h18.19.035,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df5052f1050b1ae6fe50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.083999872,LOCO ,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-13_16h18.19.035,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df5052f1050b1ae6fe50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.22300005,,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-13_16h18.19.035,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df5052f1050b1ae6fe50,6.22300005,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-13_16h18.19.035,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df5052f1050b1ae6fe50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,10.73300004,A,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-13_16h18.19.035,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df5052f1050b1ae6fe50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,11.01900005,AR,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-13_16h18.19.035,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df5052f1050b1ae6fe50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,11.60100007,ARB,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-13_16h18.19.035,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df5052f1050b1ae6fe50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,11.68500018,ARBO,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-13_16h18.19.035,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df5052f1050b1ae6fe50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,11.78600001,ARBOL,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-13_16h18.19.035,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df5052f1050b1ae6fe50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,12.03400016,,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-13_16h18.19.035,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df5052f1050b1ae6fe50,12.03400016,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-13_16h18.19.035,TranslationElicitation_spa,3.2.4,Win32,60,5ee3df5052f1050b1ae6fe50,,,,,,,
