consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
space,0.248999834,e,4.135999918,,,,,,,,,,2,11.13199997,1,8.430999756,1,7.833999872,19,m,2.179999828,3,9.600999832,ALBACETE,s,6.357999802,n,3.190000057,1,3.11500001,2,6.267999887,space,71.78499985,space,30.6730001, ,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-15_17h55.19.900,TranslationElicitation_spa,3.2.4,Win32,60,5ee3e04903b8560b39e58d9e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,35.5940001,,FALSE,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-15_17h55.19.900,TranslationElicitation_spa,3.2.4,Win32,60,5ee3e04903b8560b39e58d9e,35.5940001,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,3,1,4,167,pingui,Catalan,Sounds/cat_pingui.mp3,2020-06-15_17h55.19.900,TranslationElicitation_spa,3.2.4,Win32,60,5ee3e04903b8560b39e58d9e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.378999949,,FALSE,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-15_17h55.19.900,TranslationElicitation_spa,3.2.4,Win32,60,5ee3e04903b8560b39e58d9e,6.378999949,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.mp3,2020-06-15_17h55.19.900,TranslationElicitation_spa,3.2.4,Win32,60,5ee3e04903b8560b39e58d9e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.417999983,,FALSE,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-15_17h55.19.900,TranslationElicitation_spa,3.2.4,Win32,60,5ee3e04903b8560b39e58d9e,4.417999983,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.mp3,2020-06-15_17h55.19.900,TranslationElicitation_spa,3.2.4,Win32,60,5ee3e04903b8560b39e58d9e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,8.838999987,,FALSE,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-15_17h55.19.900,TranslationElicitation_spa,3.2.4,Win32,60,5ee3e04903b8560b39e58d9e,8.838999987,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,2,1,4,159,onada,Catalan,Sounds/cat_onada.mp3,2020-06-15_17h55.19.900,TranslationElicitation_spa,3.2.4,Win32,60,5ee3e04903b8560b39e58d9e,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.378999949,,FALSE,1,0,5,1,1,4,147,jaqueta,Catalan,Sounds/cat_jaqueta.mp3,2020-06-15_17h55.19.900,TranslationElicitation_spa,3.2.4,Win32,60,5ee3e04903b8560b39e58d9e,4.378999949,,,,,,
