consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeSpanish.thisRepN,trialsPracticeSpanish.thisTrialN,trialsPracticeSpanish.thisN,trialsPracticeSpanish.thisIndex,trialsPracticeSpanish.ran,trialsPracticeSpanish.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trialOffset,trialsSpanish.thisRepN,trialsSpanish.thisTrialN,trialsSpanish.thisN,trialsSpanish.thisIndex,trialsSpanish.ran,trialsSpanish.order
space,7.656999826,e,4.375,,,,,,,,,,1,7.832000017,1,7.978999853,1,8.375999928,2,5.332999945,1,5.404999971,1,5.324999809,24,f,2.888999939,3,6.292000055,HARTLEPOOL,y,4.468999863,n,4.320999861,1,11.0769999,2,4.977999926,space,24.85499978,g,10.72300005,G,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_18h18.01.106,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5ee7665a74f20302efda997f,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,11.69099998,GR,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_18h18.01.106,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5ee7665a74f20302efda997f,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,11.77399993,GRE,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_18h18.01.106,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5ee7665a74f20302efda997f,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,11.95799994,GREA,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_18h18.01.106,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5ee7665a74f20302efda997f,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,12.07399988,GREAT,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_18h18.01.106,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5ee7665a74f20302efda997f,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,12.45799994,GREAT,FALSE,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_18h18.01.106,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5ee7665a74f20302efda997f,12.45799994,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,1,4,96,tigre,Spanish,Sounds/spa_tigre.mp3,2020-06-24_18h18.01.106,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5ee7665a74f20302efda997f,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,1.632999897,H,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h18.01.106,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5ee7665a74f20302efda997f,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.200000048,HE,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h18.01.106,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5ee7665a74f20302efda997f,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.315999985,HEL,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h18.01.106,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5ee7665a74f20302efda997f,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,2.415999889,HELL,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h18.01.106,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5ee7665a74f20302efda997f,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,2.566999912,HELLO,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h18.01.106,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5ee7665a74f20302efda997f,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.750999928,HELLO,FALSE,1,0,5,3,1,4,70,ola,Spanish,Sounds/spa_ola.mp3,2020-06-24_18h18.01.106,TranslationElicitation_eng-prolific-spa,3.2.4,Win32,60,5ee7665a74f20302efda997f,3.750999928,,,,,,
