TrialID,Word,FileName,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,welcome_text.started,welcome_text.stopped,trial_fixation.started,trial_fixation.stopped,trial_word.started,trial_word.stopped,trial_sound.started,trial_sound.stopped,trial_response_display.started,trial_response_display.stopped,keyPresses,Code,City,Native language,English proficiency,Spanish proficiency,Catalan proficiency,date,expName,psychopyVersion,frameRate,experiment,
82,ulleres,Stimuli/Sounds/ulleres.wav,0,0,0,81,38.57163038800002,None,44.54715004399998,45.55583344299998,45.506162302999996,None,45.50628653919998,None,45.506162302999996,None,ear,001,Oxford,English,5 (Native),2,0 (No idea),2020-03-19-0050,TransElicitation,3.2.4,59.83490544360269,Translation Elicitation task,
18,camisa,Stimuli/Sounds/camisa.wav,0,1,1,17,,,51.05293298099997,52.0568629,52.025685329,51.05293298099997,52.025651104199966,None,52.025685329,51.05293298099997,shirt,001,Oxford,English,5 (Native),2,0 (No idea),2020-03-19-0050,TransElicitation,3.2.4,59.83490544360269,Translation Elicitation task,
85,xocolata,Stimuli/Sounds/xocolata.wav,0,2,2,84,,,57.554776398,58.55742203799997,58.540875889000006,57.554776398,58.541148552199985,None,58.540875889000006,57.554776398,hello,001,Oxford,English,5 (Native),2,0 (No idea),2020-03-19-0050,TransElicitation,3.2.4,59.83490544360269,Translation Elicitation task,
56,onada,Stimuli/Sounds/onada.wav,0,3,3,55,,,64.07179477799997,65.077938372,65.058547885,64.07179477799997,65.05958113919999,None,65.058547885,64.07179477799997,this is a demo,001,Oxford,English,5 (Native),2,0 (No idea),2020-03-19-0050,TransElicitation,3.2.4,59.83490544360269,Translation Elicitation task,
73,samarreta,Stimuli/Sounds/samarreta.wav,0,4,4,72,,,70.58966422100002,71.592401376,71.576240138,70.58966422100002,71.5752813842,None,71.576240138,70.58966422100002,white text will be,001,Oxford,English,5 (Native),2,0 (No idea),2020-03-19-0050,TransElicitation,3.2.4,59.83490544360269,Translation Elicitation task,
12,bolet,Stimuli/Sounds/bolet.wav,0,5,5,11,,,77.107235258,78.11126562099997,78.09306604900002,77.107235258,78.09352476519999,None,78.09306604900002,77.107235258,not visible for actual,001,Oxford,English,5 (Native),2,0 (No idea),2020-03-19-0050,TransElicitation,3.2.4,59.83490544360269,Translation Elicitation task,
83,ungla,Stimuli/Sounds/ungla.wav,0,6,6,82,,,83.62470291900001,84.64406019799998,84.61477489999999,83.62470291900001,84.61200934219997,None,84.61477489999999,83.62470291900001,participants,001,Oxford,English,5 (Native),2,0 (No idea),2020-03-19-0050,TransElicitation,3.2.4,59.83490544360269,Translation Elicitation task,
22,colom,Stimuli/Sounds/colom.wav,0,7,7,21,,,90.15371684600001,91.16273034900001,91.145573759,90.15371684600001,91.13211230120001,None,91.145573759,90.15371684600001,its not possible,001,Oxford,English,5 (Native),2,0 (No idea),2020-03-19-0050,TransElicitation,3.2.4,59.83490544360269,Translation Elicitation task,
63,peu,Stimuli/Sounds/peu.wav,0,8,8,62,,,96.68665690899996,97.695510163,97.66241983599997,96.68665690899996,97.66400325520002,None,97.66241983599997,96.68665690899996,to delete typed ,001,Oxford,English,5 (Native),2,0 (No idea),2020-03-19-0050,TransElicitation,3.2.4,59.83490544360269,Translation Elicitation task,
52,moneda,Stimuli/Sounds/moneda.wav,0,9,9,51,,,103.21227564399999,104.21386185299997,104.17953735599997,103.21227564399999,104.17915688719998,None,104.17953735599997,103.21227564399999,characters,001,Oxford,English,5 (Native),2,0 (No idea),2020-03-19-0050,TransElicitation,3.2.4,59.83490544360269,Translation Elicitation task,
