Word	PhoWord	Length_Ortho	Length_Phono	Freq_per_million	OTAN	PTAN	eOTAN	ePTAN
avestruz	a.B.e.s.t.4.u.T	8	8	0.84135	0	0	0	0
barco	b.a.4.k.o	5	5	84.976	7	9	1	0
biberón	b.i.B.E.4.o.n	7	7	1.8029	0	2	0	0
bici	b.i.T.i	4	4	5.1923	0	2	0	3
boca	b.o.k.a	4	4	137.9808	13	18	5	0
bocadillo	b.o.k.a.D.i.L.o	9	8	4.6875	1	1	0	0
bol	b.o.l	3	3	1.4663	5	10	19	12
botella	b.o.t.e.L.a	7	6	43.0769	1	1	0	0
botón	b.o.t.o.n	5	5	22.2356	2	8	0	0
brazo	b.4.a.T.o	5	5	55.7212	4	3	1	0
búho	b.u.o	4	3	2.0673	1	6	0	8
burro	b.u.r.r.o	5	5	9.4712	6	4	3	0
caballo	k.a.B.a.L.o	7	6	62.1635	2	2	0	0
caja	k.a.x.a	4	4	112.4519	19	21	3	0
calcetín	k.a.l.T.e.t.i.n	8	8	2.5	0	0	0	0
camisa	k.a.m.i.s.a	6	6	46.274	2	3	0	0
camiseta	k.a.m.i.s.e.t.a	8	8	20.649	1	1	0	0
caracol	k.a.4.a.k.o.l	7	7	2.3798	0	0	0	0
cebra	T.e.B.4.a	5	5	1.8029	4	0	2	0
cepillo	T.e.p.i.L.o	7	6	9.4712	1	1	0	0
cerdo	T.E.4.d.o	5	5	40.024	7	5	0	0
cereza	T.E.4.E.T.a	6	6	4.8317	5	3	0	0
cesta	T.e.s.t.a	5	5	3.7019	8	6	1	0
chocolate	tS.o.k.o.l.a.t.e	9	8	47.1154	1	1	1	0
cielo	T.j.e.l.o	5	5	144.9279	6	3	0	0
coche	k.o.tS.e	5	4	115.649	2	5	2	0
corona	k.o.4.o.n.a	6	6	13.1731	1	2	0	0
cubo	k.u.B.o	4	4	8.101	12	13	4	0
cuchara	k.u.tS.a.4.a	7	6	7.0433	1	3	0	0
dedo	d.e.D.o	4	4	45.7933	9	12	5	0
ensalada	E.n.s.a.l.a.D.a	8	8	23.0048	1	1	0	0
esponja	e.s.p.o.N.x.a	7	7	7.0433	1	1	0	0
estrella	e.s.t.4.e.L.a	8	7	61.0577	4	5	0	0
flor	f.l.o.4	4	4	16.6346	2	2	7	0
frambuesa	f.4.a.m.b.w.e.s.a	9	9	1.8029	0	0	0	0
gafas	g.a.f.a.s	5	5	11.3942	2	2	0	0
galleta	g.a.L.e.t.a	7	6	11.274	1	2	0	0
gallina	g.a.L.i.n.a	7	6	14.6154	1	1	0	0
gato	g.a.t.o	4	4	53.9904	9	15	3	0
globo	g.l.o.B.o	5	5	11.6346	2	2	2	0
gorrión	g.o.r.r.i.o.n	7	7	0.86538	0	0	0	0
gorro	g.o.r.r.o	5	5	3.8702	6	9	1	0
grifo	g.4.i.f.o	5	5	2.1875	1	3	1	0
guitarra	g.i.t.a.r.r.a	8	7	17.5962	1	1	0	0
gusano	g.u.s.a.n.o	6	6	10.0962	1	1	1	0
hormiga	o.4.m.i.G.a	7	6	2.6442	1	1	0	0
jirafa	x.i.4.a.f.a	6	6	1.9712	0	1	0	0
ladrillo	l.a.D.4.i.L.o	8	7	5.4327	1	2	0	0
lápiz	l.a.p.i.T	5	5	14.8317	0	1	0	0
leche	l.e.tS.e	5	4	48.0048	3	5	0	0
lengua	l.E.N.g.w.a	6	6	39.8798	1	1	0	0
león	l.e.o.n	4	4	17.5962	4	6	2	0
libro	l.i.B.4.o	5	5	159.7356	6	6	1	0
loro	l.o.4.o	4	4	4.0625	15	17	9	0
luna	l.u.n.a	4	4	66.0096	6	7	3	5
mano	m.a.n.o	4	4	255.9615	18	22	9	0
manzana	m.a.n.T.a.n.a	7	7	18.9663	1	1	0	0
mariposa	m.a.4.i.p.o.s.a	8	8	6.7067	1	1	0	0
martillo	m.a.4.t.i.L.o	8	7	11.9471	1	1	0	0
mesa	m.e.s.a	4	4	109.6154	12	12	5	0
moneda	m.o.n.e.D.a	6	6	18.0288	2	2	0	0
mono	m.o.n.o	4	4	33.125	16	20	9	0
