"trial_id","group","word1","word2","phon_trace","frequency","pthn","lv","consonant_ratio","vowel_ratio","onset","overlap_stress"
1,"ENG-SPA","avestruz","ostrich","QstrItS",0.94118,0,0.25,0.542857142857142,0.142857142857142,"Different",1
2,"ENG-SPA","barco","boat","b@Ut",95.7843,5,0.2,0.4,0.111111111111111,"Same",1
3,"ENG-SPA","biberón","bottle","bQtl",50.7451,0,0.142857142857143,0.29090909090909,0,"Same",1
4,"ENG-SPA","bici","bike","b^Ik",25.8824,9,0.25,0.4,0.25,"Same",1
5,"ENG-SPA","boca","mouth","maUT",104.4118,0,0,0.233333333333333,0.25,"Different",1
6,"ENG-SPA","bocadillo","sandwich","sanwIdM",21.9216,0,0,0.266666666666666,0.19047619047619,"Different",0
7,"ENG-SPA","bol","bowl","b@Ul",21.451,12,0.5,0.571428571428571,0.19047619047619,"Same",1
8,"ENG-SPA","boli","pen","pDn",24.7255,7,0,0.438095238095238,0.0952380952380952,"Different",1
9,"ENG-SPA","botella","bottle","bQtl",50.7451,0,0.333333333333333,0.4,0.133333333333333,"Same",0
10,"ENG-SPA","botón","button","b^tn",28.2549,0,0.6,0.666666666666666,0.148148148148148,"Same",1
11,"ENG-SPA","brazo","arm","Am",65.4118,5,0,0.133333333333333,0,"Different",0
12,"ENG-SPA","búho","owl","aUl",5.6078,10,0,0,0.333333333333333,"Different",0
13,"ENG-SPA","burro","donkey","dQNki",5.3529,0,0,0.281481481481481,0.111111111111111,"Different",1
14,"ENG-SPA","caballo","horse","hLLs",92.8824,2,0,0.325925925925925,0.074074074074074,"Different",1
15,"ENG-SPA","caja","box","bQks",89.7451,0,0,0.25,0,"Different",1
16,"ENG-SPA","calcetín","sock","sQk",8.9804,16,0,0.181818181818181,0,"Different",0
17,"ENG-SPA","camisa","shirt","S@@t",46.3725,6,0,0.311111111111111,0.148148148148148,"Different",1
18,"ENG-SPA","camiseta","t-shirt","tiiS@@t",NA,NA,0.25,0.42051282051282,0.256410256410256,"Different",1
19,"ENG-SPA","caracol","snail","snEIl",1.7647,7,0.142857142857143,0.277777777777777,0.0833333333333333,"Different",1
20,"ENG-SPA","cebra","zebra","ziibr@",2.5098,0,0.2,0.573333333333333,0.266666666666666,"Different",1
21,"ENG-SPA","cepillo","brush","br^S",14.1569,2,0,0.133333333333333,0,"Different",1
22,"ENG-SPA","cerdo","pig","pIg",39.1373,3,0,0.316666666666666,0.208333333333333,"Different",1
23,"ENG-SPA","cereza","cherry","tSDri",13.5882,6,0,0.36,0.333333333333333,"Different",1
24,"ENG-SPA","cesta","basket","bAskIt",13.1765,0,0.166666666666667,0.484848484848484,0.0606060606060606,"Different",0
25,"ENG-SPA","chocolate","chocolate","tSQk@lIt",29.3922,0,0.5,0.533333333333333,0.244444444444444,"Same",1
26,"ENG-SPA","cielo","sky","sk^I",44.8039,0,0,0.355555555555555,0.148148148148148,"Different",1
27,"ENG-SPA","coche","car","kA",483.0588,2,0.25,0.333333333333333,0.166666666666666,"Same",1
28,"ENG-SPA","corona","crown","kraUn",13.6863,4,0.333333333333333,0.545454545454545,0.0303030303030302,"Same",1
29,"ENG-SPA","cubo","bucket",NA,10.0196,1,0,0.355555555555555,0.111111111111111,"Different",0
30,"ENG-SPA","cuchara","spoon","spuun",7.6078,3,0,0.28,0.2,"Different",0
31,"ENG-SPA","dedo","finger","fINg@",36.6667,0,0,0.266666666666666,0.185185185185185,"Different",1
32,"ENG-SPA","ensalada","salad","sal@d",17.0196,0,0.375,0.461538461538461,0.205128205128205,"Different",0
33,"ENG-SPA","esponja","sponge","sp^ndM",6.7059,0,0.285714285714286,0.588888888888888,0.111111111111111,"Different",1
34,"ENG-SPA","estrella","star","stA",81.3529,3,0.285714285714286,0.4,0,"Different",1
35,"ENG-SPA","flor","flower","flaU@",22.7647,1,0.4,0.444444444444444,0.037037037037037,"Same",1
36,"ENG-SPA","frambuesa","raspberry","rAzb@ri",1.8824,0,0.111111111111111,0.325,0.0833333333333333,"Different",0
37,"ENG-SPA","gafas","glasses","glAsIz",33.1176,0,0.166666666666667,0.363636363636363,0,"Same",0
38,"ENG-SPA","galleta","biscuit","bIskIt",NA,NA,0,0.377777777777777,0.0833333333333333,"Different",0
39,"ENG-SPA","gallina","cock","kQk",11.3725,16,0,0.34074074074074,0.074074074074074,"Different",1
40,"ENG-SPA","gato","cat","kat",66.3333,9,0.25,0.552380952380952,0.238095238095238,"Different",1
41,"ENG-SPA","globo","balloon","b@luun",8.6667,0,0,0.44,0.166666666666666,"Different",1
42,"ENG-SPA","gorrión","sparrow","spar@U",NA,NA,0,0.266666666666666,0.138888888888888,"Different",0
43,"ENG-SPA","gorro","hat","hat",64.1765,14,0,0.380952380952381,0.0952380952380952,"Different",1
44,"ENG-SPA","grifo","tap","tap",14.7451,8,0,0.183333333333333,0,"Different",0
45,"ENG-SPA","guitarra","guitar","gItA",15.5882,0,0.333333333333333,0.4,0.333333333333333,"Same",1
46,"ENG-SPA","gusano","worm","w@@m",10.1176,8,0,0.296296296296296,0.074074074074074,"Different",0
47,"ENG-SPA","hormiga","ant","ant",5.3529,9,0,0.296296296296296,0.074074074074074,"Different",1
48,"ENG-SPA","jirafa","giraffe","dMIrAf",1.4902,0,0.166666666666667,0.496969696969697,0.303030303030303,"Different",1
49,"ENG-SPA","ladrillo","brick","brik",10.1765,8,0,0.375757575757575,0.181818181818181,"Different",0
50,"ENG-SPA","lápiz","pencil","pDnsl",9.8627,0,0,0.2,0,"Different",1
51,"ENG-SPA","leche","milk","mIlk",42.5294,0,0,0.25,0,"Different",1
52,"ENG-SPA","lengua","tongue","t^N",31.1569,3,0,0.325925925925925,0.111111111111111,"Different",1
53,"ENG-SPA","león","lion","l^I@n",15.3529,1,0.4,0.444444444444444,0.222222222222222,"Same",1
54,"ENG-SPA","libro","book","bUk",176.9804,3,0,0.216666666666666,0.125,"Different",1
55,"ENG-SPA","loro","parrot","par@t",3.2745,2,0,0.311111111111111,0.222222222222222,"Different",1
56,"ENG-SPA","luna","moon","muun",49.9608,6,0.5,0.399999999999999,0.285714285714285,"Different",1
57,"ENG-SPA","mano","hand","hand",279.6471,2,0.25,0.3,0.208333333333333,"Different",1
58,"ENG-SPA","manzana","apple","apl",23.6667,0,0,0.08,0,"Different",0
59,"ENG-SPA","mariposa","butterfly","b^t@fl^I",5.5098,0,0,0.116666666666666,0.25,"Different",1
60,"ENG-SPA","martillo","hammer","ham@",12.4706,0,0,0.181818181818181,0.0909090909090909,"Different",1
61,"ENG-SPA","mesa","table","tEIbl",105.6275,1,0.2,0.148148148148148,0.222222222222222,"Different",0
62,"ENG-SPA","moneda","coin","kLIn",9.7451,6,0,0.293333333333333,0.166666666666666,"Different",1
63,"ENG-SPA","mono","monkey","m^Nki",33.5098,1,0.2,0.4,0.148148148148148,"Same",1
64,"ENG-SPA","moto","motorbike","m@Ut@b^Ik",0.7451,0,0.222222222222222,0.307692307692307,0.205128205128205,"Same",1
65,"ENG-SPA","muñeca","doll","dQl",24.7647,5,0,0.251851851851851,0.111111111111111,"Different",0
66,"ENG-SPA","naranja","orange","QrInM",22.3137,0,0,0.166666666666666,0,"Different",1
67,"ENG-SPA","nariz","nose","n@Uz",69.7451,6,0.2,0.222222222222222,0.111111111111111,"Same",0
68,"ENG-SPA","ombligo","belly button","bDlib^tn",NA,NA,0.125,0.328888888888888,0.222222222222222,"Different",0
69,"ENG-SPA","osito","teddy bear","tDdibD",NA,NA,0.142857142857143,0.122222222222222,0.25,"Different",1
70,"ENG-SPA","oveja","sheep","Siip",13.4314,8,0,0,0,"Different",1
71,"ENG-SPA","pájaro","bird","b@@d",45.451,7,0,0.34074074074074,0.148148148148148,"Different",0
72,"ENG-SPA","pan","bread","brDd",28.3333,5,0,0.266666666666666,0,"Different",1
73,"ENG-SPA","pañal","nappy","napi",0.78431,8,0,0.222222222222222,0.111111111111111,"Different",0
74,"ENG-SPA","pantalón","trousers","traUz@z",5.1569,0,0,0.32,0.2,"Different",1
75,"ENG-SPA","pastel","cake","kDIk",45.0588,8,0,0.12,0.2,"Different",1
76,"ENG-SPA","patata","potato","p@tEIt@U",11.2941,0,0.375,0.428571428571428,0.238095238095238,"Same",1
77,"ENG-SPA","pato","duck","d^k",24.7647,11,0,0.438095238095238,0.142857142857142,"Different",1
78,"ENG-SPA","pelota","ball","bLLl",104.9608,5,0.166666666666667,0.429629629629629,0.074074074074074,"Different",1
79,"ENG-SPA","perro","dog","dQg",192.8431,1,0,0.361904761904761,0.0476190476190476,"Different",0
80,"ENG-SPA","pez","fish","fIS",83.4902,1,0,0.555555555555555,0.277777777777777,"Different",1
81,"ENG-SPA","pie","foot","fUt",64.9216,5,0,0.266666666666666,0,"Different",1
82,"ENG-SPA","pierna","leg","lDg",56.5098,2,0,0.0888888888888888,0,"Different",0
83,"ENG-SPA","plátano","banana","b@nAn@",10.7255,0,0.142857142857143,0.297435897435897,0.0769230769230769,"Different",1
84,"ENG-SPA","plato","plate","plEIt",25.6471,7,0.4,0.6,0.133333333333333,"Same",1
85,"ENG-SPA","pluma","feather","fDZ@",6.6275,6,0,0.177777777777777,0,"Different",1
86,"ENG-SPA","pollo","chicken","tSIkIn",61.7255,0,0,0.281481481481481,0.148148148148148,"Different",0
87,"ENG-SPA","puerta","door","dQr",292.0588,5,0,0.183333333333333,0,"Different",1
88,"ENG-SPA","sándwich","sandwich","sanwIdM",21.9216,0,0.428571428571429,0.594871794871794,0.282051282051282,"Same",1
89,"ENG-SPA","sol","sun","s^n",69.6667,13,0.333333333333333,0.533333333333333,0.222222222222222,"Same",1
90,"ENG-SPA","tambor","drum","dr^m",8.4706,4,0,0.386666666666666,0,"Different",1
91,"ENG-SPA","tenedor","fork","fLLk",8.8235,12,0,0.28,0.0666666666666666,"Different",0
92,"ENG-SPA","tijeras","scissors","sIz@z",6.6863,1,0,0.411111111111111,0.305555555555555,"Different",0
93,"ENG-SPA","tobogán","slide","sl^Id",17.8235,2,0,0.144444444444444,0.166666666666666,"Different",1
94,"ENG-SPA","tomate","tomato","t@mAt@U",5.902,0,0.428571428571429,0.461538461538461,0.333333333333333,"Same",1
95,"ENG-SPA","toro","bull","bUl",27.5098,6,0,0.476190476190476,0.238095238095238,"Different",1
96,"ENG-SPA","tren","train","trEIn",95.0588,0,0.6,0.666666666666666,0.222222222222222,"Same",1
97,"ENG-SPA","ventana","window","wInd@U",86,0,0,0.215384615384615,0.128205128205128,"Different",0
98,"ENG-SPA","zanahoria","carrot","kar@t",3.8235,3,0,0.246153846153846,0.128205128205128,"Different",0
99,"ENG-SPA","árbol","tree","trii",65,5,0.2,0.25,0,"Different",1
