participant,consent_key.keys,consent_key.rt,language_native_key.keys,language_native_key.rt,language_home_key.keys,language_home_key.rt,language_prof_oral_english_key.keys,language_prof_oral_english_key.rt,language_prof_oral_spanish_key.keys,language_prof_oral_spanish_key.rt,language_prof_oral_catalan_key.keys,language_prof_oral_catalan_key.rt,language_prof_written_english_key.keys,language_prof_written_english_key.rt,language_prof_written_spanish_key.keys,language_prof_written_spanish_key.rt,language_prof_written_catalan_key.keys,language_prof_written_catalan_key.rt,age,date,expName,psychopyVersion,OS,frameRate,demo_age_key.keys,demo_age_key.rt,demo_sex_key.keys,demo_sex_key.rt,demo_education_key.keys,demo_education_key.rt,demo_vision_key.keys,demo_vision_key.rt,demo_impairment_key.keys,demo_impairment_key.rt,setup_where_key.keys,setup_where_key.rt,setup_noise_key.keys,setup_noise_key.rt,letterTyped,typingOnset,inputText,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_trials.order,trial_id,word,test_language,soundfile,correction,trials_catalan.thisRepN,trials_catalan.thisTrialN,trials_catalan.thisN,trials_catalan.thisIndex,trials_catalan.ran,trials_catalan.order
67126,space,0.358999968,e,1.171000004,e,0.144999981,2,1.055999994,,,2,0.134000063,2,0.119999886,,,2,0.102999926,2,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67126,,,,,,,,,,,,,,,,,,,22,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67126,,,,,,,,,,,,,,,,,,,222,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,"[""2"",""2"",""2"",""return""]","[0.13399982452392578,0.2569997310638428,0.40399980545043945,1.05299973487854]",m,1.075000048,1,1.479999781,s,6.289999723,s,0.872999907,1,1.746999979,1,0.64199996,H,4.493999958,H,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.wav,,,,,,,
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,4.493999958,,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.wav,,,,,,,
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,1,0,5,0,1,4,109,arbre,Catalan,Sounds/cat_arbre.wav,,,,,,,
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,T,2.35800004,T,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.wav,,,,,,,
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,I,2.47300005,TI,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.wav,,,,,,,
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,R,2.725000143,TIR,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.wav,,,,,,,
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,2.725000143,TI,1,0,5,4,1,4,179,tigre,Catalan,Sounds/cat_tigre.wav,yes,,,,,,
