frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
1	0.001	0.00001	1358.752	509.528	2248.800	501.686	--undefined--	--undefined--
2	0.002	0.000002	1721.560	463.662	2657.959	475.754	--undefined--	--undefined--
3	0.003	0.000004	1013.314	838.639	1935.504	1000.554	4989.975	801.273
4	0.004	0.00001	1190.140	594.432	2090.975	382.821	4629.366	648.138
5	0.005	0.00001	1750.283	438.929	3696.578	1660.218	--undefined--	--undefined--
6	0.006	0.00001	1100.388	823.633	2126.190	557.163	--undefined--	--undefined--
7	0.007	0.00002	1852.415	436.932	3649.727	2066.407	--undefined--	--undefined--
8	0.008	0.00002	869.633	1857.461	1926.462	908.487	4732.901	2484.850
9	0.009	0.00002	1215.705	779.535	2258.097	898.658	4370.038	1748.720
10	0.010	0.00002	865.059	1555.202	2473.192	1406.492	--undefined--	--undefined--
11	0.011	0.00016	923.208	996.935	1864.692	717.145	--undefined--	--undefined--
12	0.012	0.00016	1375.283	1321.759	2234.532	753.879	--undefined--	--undefined--
13	0.013	0.00007	773.930	1919.354	2354.998	628.233	--undefined--	--undefined--
14	0.014	0.00089	772.178	928.932	1766.627	880.547	2867.487	805.626
15	0.015	0.00089	1097.691	1028.740	2575.721	791.217	--undefined--	--undefined--
16	0.016	0.00022	1273.871	1309.670	2578.845	781.146	--undefined--	--undefined--
17	0.017	0.00029	1156.426	589.336	2467.867	1050.571	--undefined--	--undefined--
18	0.018	0.00036	1190.803	788.107	2352.236	821.319	--undefined--	--undefined--
19	0.019	0.00036	584.115	764.515	1605.315	932.804	--undefined--	--undefined--
20	0.020	0.00018	1348.239	642.126	2202.024	941.393	5025.310	3766.883
21	0.021	0.00289	1061.085	854.061	2223.127	1191.274	--undefined--	--undefined--
22	0.022	0.00289	599.523	556.508	2115.586	686.134	4103.972	1495.112
23	0.023	0.00112	837.291	717.200	1811.256	956.082	--undefined--	--undefined--
24	0.024	0.00537	1164.588	498.975	2220.052	426.742	--undefined--	--undefined--
