frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
1	0.001	0.000003	1065.040	1317.832	2551.639	636.830	5375.223	1134.167
2	0.002	0.000003	1507.956	595.853	2691.370	807.502	--undefined--	--undefined--
3	0.003	0.000002	1134.495	574.890	2944.638	345.236	5200.515	1092.838
4	0.004	0.000002	1446.399	629.666	4659.784	1252.178	--undefined--	--undefined--
5	0.005	0.000003	1085.579	1383.243	2812.996	574.232	--undefined--	--undefined--
6	0.006	0.000003	1311.321	1324.992	1503.917	2141.130	4020.028	1649.711
7	0.007	0.000004	2314.030	642.180	5264.465	1226.863	--undefined--	--undefined--
8	0.008	0.00003	1426.774	748.648	2579.979	721.079	--undefined--	--undefined--
9	0.009	0.00003	1347.494	489.414	2326.387	620.097	--undefined--	--undefined--
10	0.010	0.00003	1393.128	413.726	2334.250	576.468	3966.337	5677.262
11	0.011	0.000006	1277.795	695.636	1277.873	4122.655	3893.669	2226.122
12	0.012	0.00005	357.963	813.195	2355.053	2008.583	--undefined--	--undefined--
13	0.013	0.00012	1209.445	488.658	2109.956	501.420	--undefined--	--undefined--
14	0.014	0.00012	1308.961	510.996	2200.530	417.282	--undefined--	--undefined--
15	0.015	0.00004	1364.462	1134.857	2059.377	3208.480	--undefined--	--undefined--
16	0.016	0.00025	826.966	1424.013	1794.047	1264.062	4702.441	3461.557
17	0.017	0.00025	960.185	677.791	3122.410	1114.337	--undefined--	--undefined--
18	0.018	0.00018	1649.820	1247.832	2181.264	1199.314	--undefined--	--undefined--
19	0.019	0.00534	1348.376	1295.034	2483.139	1412.320	--undefined--	--undefined--
20	0.020	0.00534	1085.727	1404.658	1951.226	1172.602	2897.470	1302.638
21	0.021	0.00176	1382.970	426.665	2315.011	492.065	--undefined--	--undefined--
22	0.022	0.00670	1794.138	1178.094	2745.877	1416.390	--undefined--	--undefined--
23	0.023	0.00670	1325.020	841.355	2375.843	830.769	--undefined--	--undefined--
24	0.024	0.00268	1278.566	557.489	2168.135	610.007	3545.122	3495.566
25	0.025	0.01206	1340.731	4238.093	2008.276	891.970	3612.238	2073.290
26	0.026	0.01206	1083.593	855.546	2085.928	855.470	--undefined--	--undefined--
27	0.027	0.00447	1551.336	694.184	2660.367	1074.342	--undefined--	--undefined--
28	0.028	0.01290	2044.739	620.027	3354.926	1769.116	--undefined--	--undefined--
29	0.029	0.01290	1199.096	743.430	2237.697	782.368	--undefined--	--undefined--
30	0.030	0.00769	1532.546	493.320	2541.267	668.077	--undefined--	--undefined--
31	0.031	0.01252	2158.566	559.931	3357.608	1303.757	--undefined--	--undefined--
32	0.032	0.01252	1153.798	712.952	2179.543	831.592	--undefined--	--undefined--
33	0.033	0.00782	1753.575	587.202	2875.086	754.540	--undefined--	--undefined--
34	0.034	0.01908	2452.871	990.776	3356.610	2549.115	--undefined--	--undefined--
35	0.035	0.01908	1080.715	802.505	2114.018	1051.425	3687.086	2218.655
36	0.036	0.00488	1198.405	839.437	2348.186	801.414	3375.827	610.275
37	0.037	0.02053	584.498	1621.776	2420.584	988.161	3646.216	1266.555
38	0.038	0.02053	1228.385	988.183	2534.361	1143.373	--undefined--	--undefined--
39	0.039	0.00459	1121.193	617.907	2247.477	743.084	3325.214	546.410
40	0.040	0.02126	485.314	2957.397	2367.660	1831.405	3313.062	2182.882
41	0.041	0.02126	1224.232	1003.521	2507.796	1338.592	--undefined--	--undefined--
42	0.042	0.01607	1317.017	852.002	2870.369	1289.260	--undefined--	--undefined--
43	0.043	0.01820	932.662	1291.130	2298.632	1393.445	3524.715	1224.189
44	0.044	0.01820	1177.990	771.747	2011.078	1609.550	3973.501	2088.352
45	0.045	0.02713	1335.794	759.633	3520.933	3866.468	--undefined--	--undefined--
46	0.046	0.02713	1052.149	604.954	2122.835	916.620	3436.340	698.156
47	0.047	0.01267	1312.448	711.651	1671.122	1586.541	4024.744	845.663
48	0.048	0.03245	1227.329	812.369	2681.989	999.332	--undefined--	--undefined--
49	0.049	0.03245	1310.740	618.194	3251.488	903.283	--undefined--	--undefined--
50	0.050	0.01373	1203.660	753.063	2462.228	1164.245	3788.463	1061.259
