frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
1	0.001	0.0000006	1361.407	791.508	2777.420	1579.926	4912.273	1190.375
2	0.002	0.0000006	987.207	1280.028	2726.213	928.561	5146.554	1081.510
3	0.003	0.0000006	1311.887	1096.612	2575.643	747.652	5033.020	581.633
4	0.004	0.0000006	1140.196	799.254	3222.026	1765.687	4905.141	645.551
5	0.005	0.0000006	1332.164	946.106	2293.494	1544.470	--undefined--	--undefined--
6	0.006	0.0000005	1380.003	524.862	1939.717	3509.201	4962.006	1179.816
7	0.007	0.000001	3337.806	687.206	4877.917	1401.292	--undefined--	--undefined--
8	0.008	0.000002	1326.659	665.221	4841.080	1221.087	--undefined--	--undefined--
9	0.009	0.000002	1417.749	956.479	2897.951	1246.752	4798.571	1417.996
10	0.010	0.000001	897.500	1115.626	1669.454	784.068	4546.333	515.261
11	0.011	0.000001	1044.919	1531.047	3039.884	468.096	--undefined--	--undefined--
12	0.012	0.0000007	676.700	2453.651	1624.575	1005.894	5079.738	3447.897
13	0.013	0.000001	1350.872	429.314	3535.654	740.459	4929.302	877.827
14	0.014	0.000002	1336.741	486.631	2427.916	607.249	--undefined--	--undefined--
15	0.015	0.000002	1134.201	934.337	3892.408	2010.507	4320.326	6365.538
16	0.016	0.000002	822.335	2801.280	1590.157	732.630	5041.311	495.184
17	0.017	0.000002	1640.655	770.252	2029.647	2031.711	4974.286	463.116
18	0.018	0.000003	737.822	2577.602	1484.625	1089.550	4626.304	1305.849
19	0.019	0.000005	1350.212	766.555	3379.795	1404.959	--undefined--	--undefined--
20	0.020	0.000007	879.874	591.028	1910.422	562.917	5081.092	693.310
21	0.021	0.000007	833.851	1887.696	4432.962	496.217	--undefined--	--undefined--
22	0.022	0.000006	585.749	1529.920	1692.372	1448.724	3793.526	3610.565
23	0.023	0.000006	1806.782	867.269	3022.308	897.364	--undefined--	--undefined--
24	0.024	0.00002	539.377	803.169	3463.029	2070.721	--undefined--	--undefined--
25	0.025	0.00003	472.009	563.979	1569.040	721.928	3918.335	678.852
26	0.026	0.00005	990.999	562.289	1841.575	578.876	--undefined--	--undefined--
27	0.027	0.00020	633.153	1461.728	--undefined--	--undefined--	--undefined--	--undefined--
28	0.028	0.00024	1121.086	673.603	3567.136	1894.180	--undefined--	--undefined--
29	0.029	0.00024	1136.981	781.704	2578.914	944.852	--undefined--	--undefined--
30	0.030	0.00009	1123.158	786.717	2779.459	2994.126	--undefined--	--undefined--
