frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
1	0.001	0.000003	1044.147	945.721	1806.620	906.028	4392.768	879.208
2	0.002	0.000003	1026.218	535.326	1829.951	637.105	3942.261	457.746
3	0.003	0.000005	1192.729	469.299	4685.454	1001.817	--undefined--	--undefined--
4	0.004	0.000005	1085.454	647.173	1989.072	664.739	--undefined--	--undefined--
5	0.005	0.000005	723.006	951.776	1652.658	804.765	4868.898	640.371
6	0.006	0.000005	1136.488	2286.375	1348.234	950.381	4134.244	745.544
7	0.007	0.000005	992.204	933.169	2843.678	1412.630	4064.447	622.402
8	0.008	0.00002	1538.713	558.645	4354.663	799.018	--undefined--	--undefined--
9	0.009	0.00002	957.450	655.523	1877.980	527.128	4651.215	913.306
10	0.010	0.00003	1033.114	789.150	1916.312	911.794	4431.489	1361.286
11	0.011	0.00003	1366.685	690.780	1797.001	2485.274	4253.302	595.154
12	0.012	0.00002	972.748	669.463	1926.380	529.153	4351.711	525.585
13	0.013	0.00003	918.843	704.711	1902.324	596.800	4193.184	1796.093
14	0.014	0.00003	1049.119	483.845	1938.664	443.206	--undefined--	--undefined--
15	0.015	0.00002	1225.668	1477.574	1682.182	1405.956	5014.657	1373.190
16	0.016	0.00005	1242.706	1255.169	1894.487	1619.701	4385.612	853.737
17	0.017	0.00005	1114.825	519.822	1980.266	537.987	4604.644	857.367
18	0.018	0.00003	1729.707	805.798	4205.298	1182.466	--undefined--	--undefined--
19	0.019	0.00003	1250.025	402.092	4264.314	980.027	--undefined--	--undefined--
20	0.020	0.00003	1194.139	537.378	2113.816	544.499	--undefined--	--undefined--
21	0.021	0.00003	1268.340	671.332	1994.499	1163.161	4389.795	716.844
22	0.022	0.00004	991.364	534.329	1915.122	426.693	5101.776	903.210
23	0.023	0.00004	845.921	534.980	1737.400	356.329	4562.286	664.866
24	0.024	0.00003	1177.518	691.417	1945.818	1802.976	4340.984	788.493
25	0.025	0.00002	1056.076	810.053	2114.900	1122.086	4992.685	426.295
26	0.026	0.000009	874.361	1414.016	4091.914	680.667	--undefined--	--undefined--
27	0.027	0.00002	1874.017	795.435	3978.056	972.135	--undefined--	--undefined--
28	0.028	0.00002	1015.431	3493.910	1422.438	716.315	4460.485	579.883
29	0.029	0.00002	1842.595	1611.328	4386.051	766.097	--undefined--	--undefined--
30	0.030	0.00001	1393.090	429.510	2665.331	860.472	5079.711	781.216
31	0.031	0.00002	957.170	665.781	1908.748	616.312	4650.750	646.563
32	0.032	0.00002	2462.797	1671.420	4309.151	1022.311	--undefined--	--undefined--
33	0.033	0.00004	703.850	2140.431	1462.740	1039.060	4094.860	428.032
34	0.034	0.00008	814.879	1846.864	1560.008	938.938	4177.187	507.245
35	0.035	0.00008	1047.987	639.357	1847.773	710.589	4322.343	757.919
36	0.036	0.00007	419.378	434.574	1975.764	329.700	4524.336	636.342
37	0.037	0.00090	1139.705	409.801	2013.116	369.051	4949.447	826.660
38	0.038	0.00090	983.281	497.935	1863.659	494.329	4446.921	753.620
39	0.039	0.00051	1024.034	600.790	1811.488	648.131	4748.190	1009.642
40	0.040	0.00646	1130.441	1328.435	3499.964	938.561	--undefined--	--undefined--
41	0.041	0.00646	722.513	3570.389	1377.361	668.507	4371.848	780.536
42	0.042	0.00601	1000.135	459.151	1882.006	519.174	3743.552	1317.290
43	0.043	0.00187	699.973	750.252	1573.167	622.555	4060.824	874.610
44	0.044	0.00389	716.360	647.872	1787.904	510.651	5300.263	1819.532
45	0.045	0.00615	1382.293	764.917	4418.765	876.701	--undefined--	--undefined--
46	0.046	0.00615	1178.056	624.802	2067.264	583.017	--undefined--	--undefined--
47	0.047	0.00208	788.579	594.160	1671.183	490.264	4433.642	873.053
48	0.048	0.00925	973.935	907.518	2689.428	1623.343	--undefined--	--undefined--
49	0.049	0.00981	896.841	892.531	1729.788	761.731	4120.513	513.054
50	0.050	0.00981	970.394	505.394	1797.605	618.992	4127.686	1052.700
51	0.051	0.00417	960.365	464.138	1837.397	472.941	4013.376	1821.671
52	0.052	0.02297	755.159	617.392	3173.976	1093.916	--undefined--	--undefined--
53	0.053	0.02297	1167.493	1044.584	1613.787	1512.258	4079.150	593.661
54	0.054	0.00954	653.042	1462.523	1341.477	692.030	4128.100	491.921
55	0.055	0.01913	970.946	641.327	1870.778	606.825	--undefined--	--undefined--
56	0.056	0.02290	1161.923	945.816	3983.578	753.619	--undefined--	--undefined--
57	0.057	0.02290	1310.055	914.443	1314.512	2903.506	4157.100	1012.004
58	0.058	0.00503	1102.947	671.566	1728.410	1559.188	4142.871	912.418
59	0.059	0.02942	1169.948	527.833	2094.165	481.734	--undefined--	--undefined--
60	0.060	0.03260	1228.981	730.860	4031.449	896.897	--undefined--	--undefined--
61	0.061	0.03260	956.355	1418.991	1518.998	880.156	4448.328	1369.254
62	0.062	0.00733	790.371	779.875	1707.593	592.970	5067.358	1752.267
63	0.063	0.03580	1154.044	521.312	2902.907	957.529	--undefined--	--undefined--
64	0.064	0.03580	1249.918	795.853	1522.363	2914.268	4049.877	538.024
65	0.065	0.01489	937.373	474.392	1729.435	536.048	4153.391	1575.523
